words,count
sleep,6
nthe,7
chateau,11
phone,6
roof,7
coffee,9
washer,8
little,9
free,12
service,22
elevator,6
hollywood,10
shower,11
don,8
definitely,7
bar,20
kitchen,15
bathroom,9
property,7
night,18
people,8
hear,6
check,15
floor,14
beds,7
vegas,25
villa,9
checkout,6
car,6
awesome,6
staying,8
didn,17
living,6
star,7
dining,6
parking,6
timeshare,9
week,9
marriott,20
stars,10
separate,7
time,10
pool,20
booked,7
family,6
hour,7
stayed,13
late,6
food,7
feel,6
heads,6
hotel,37
king,7
clean,12
pretty,9
close,6
probably,7
grand,10
location,11
surprised,6
planet,10
nice,28
suite,19
friendly,9
valet,14
front,8
day,6
strip,28
bed,20
construction,15
bedroom,29
staff,7
view,7
walk,9
drink,8
lobby,8
dryer,9
desk,13
helpful,6
sofa,7
own,9
stay,16
