words,count
dish,6
try,13
nthe,16
dry,27
smoke,11
dressing,9
salad,27
loco,6
ribs,42
hot,12
sandwich,6
tried,8
mac,12
salsa,7
meat,7
sauce,20
food,31
lunch,14
half,6
potatoes,6
didn,13
salads,8
times,8
cucumber,7
cheese,15
wasn,11
little,15
service,9
spinach,6
juicy,6
definitely,7
nthey,6
chicken,120
nevada,8
outside,7
pretty,9
combo,8
rice,9
bad,6
grilled,9
tender,7
restaurant,7
table,6
bbq,11
pollo,7
drink,7
flavor,11
bit,14
smell,9
eating,7
pasta,11
meal,11
eat,8
piece,6
taste,8
nice,8
potato,10
time,27
