words,count
nwe,12
worth,9
tickets,19
venue,7
enjoy,12
nthe,22
weren,8
told,13
music,29
breathe,8
afrojack,8
times,9
amazing,15
hop,21
wrong,7
las,7
mean,6
saturday,11
nif,9
little,8
free,14
isn,8
moving,9
loud,9
floors,7
wasn,21
service,24
top,9
girls,15
palace,11
don,29
definitely,11
saying,9
chandelier,23
busy,6
lights,11
bar,15
bad,11
capacity,6
lots,8
pre,7
expected,6
air,6
kept,9
left,18
easy,8
night,56
security,18
crowd,15
people,69
clubs,25
super,11
stuck,7
inside,36
check,12
floor,57
weekend,8
phone,6
dance,61
vegas,64
cool,12
leave,8
guy,7
drinks,38
water,19
wait,34
love,7
live,6
club,134
heart,7
crazy,13
awesome,9
pure,12
spot,7
guys,20
maybe,8
shoes,8
midnight,8
terrace,14
main,30
name,6
hakkasan,9
girl,10
space,11
looking,6
couldn,17
waited,7
friend,13
ridiculous,6
price,6
paid,9
heels,8
pay,8
harris,22
bottle,29
noverall,11
outdoor,7
dark,7
table,45
strip,17
lol,6
start,9
lot,15
trying,6
time,38
bouncers,13
ticket,8
list,26
past,7
hours,12
sardines,8
experience,21
vip,23
gorgeous,8
door,7
hour,13
beautiful,20
dress,7
huge,13
crowded,32
playing,10
actually,10
wouldn,6
found,6
upstairs,6
expect,10
terrible,6
feel,7
guest,22
dancing,11
caesar,8
pretty,38
money,9
hip,22
insane,7
set,6
probably,17
barely,7
expensive,21
stolen,6
look,10
tip,6
fun,9
guestlist,12
arrived,9
bouncer,10
person,6
tables,12
absolutely,9
impressed,9
line,78
nice,43
walked,8
code,7
edm,13
outside,25
try,8
waiting,13
presale,6
casino,7
calvin,28
started,6
nightclub,15
sit,16
light,7
lines,23
move,23
dad,6
front,9
doing,6
stars,21
able,9
unless,10
looked,10
bring,8
staff,8
course,6
view,23
packed,41
rooftop,17
walk,13
hottest,7
promoter,18
party,7
drink,13
checking,6
lost,8
didn,27
literally,7
getting,27
guard,8
omnia,40
buy,10
minutes,13
friends,24
