words,count
nwe,10
hanging,6
worth,17
casinos,25
street,67
lights,7
kids,17
music,10
las,18
safe,9
hang,6
little,10
free,6
days,7
don,27
wearing,6
watch,8
nasty,9
bad,14
beer,8
life,8
nit,7
left,6
night,12
security,6
people,61
panhandlers,7
fse,10
trip,6
cab,6
nthis,6
time,24
vegas,67
cool,10
guy,11
drinks,7
visit,9
live,8
downtown,15
fuck,7
watching,6
maybe,9
half,6
didn,10
looking,9
couldn,6
city,12
eyes,6
parking,8
sad,6
walking,9
cheap,14
freemont,6
shops,7
money,22
real,6
world,8
homeless,9
strip,36
trying,6
dirty,12
gone,6
nthe,7
wife,8
children,10
fat,8
experience,40
family,7
town,7
beautiful,7
food,10
ass,6
drink,7
feel,9
park,6
performers,15
play,7
pretty,8
probably,11
drunk,10
look,9
fun,18
fremont,54
crap,8
line,6
ago,9
walked,6
casino,14
makes,6
women,8
ride,6
stop,7
light,14
day,7
bums,9
meth,9
entertainment,7
unless,7
horrible,8
etc,6
shame,6
waste,6
minutes,10
pit,6
dressed,7
stay,6
