words,count
monte,6
nwe,10
sorry,7
street,7
nthe,11
told,30
dry,12
brought,16
tell,11
glass,14
warm,8
bartender,6
times,20
wrong,8
waited,29
wine,14
weeks,6
bread,21
meat,9
potatoes,6
meal,18
forgot,7
wasn,9
service,69
seated,23
don,30
definitely,6
saying,9
menu,11
monica,10
appetizer,11
bar,25
bad,16
steak,38
decided,9
received,12
quickly,6
beer,8
weren,6
plates,6
butter,6
left,22
night,12
people,19
dinner,21
happy,20
medium,9
mediocre,7
check,18
time,40
manager,53
ice,7
finally,18
cook,7
minute,6
leave,12
steaks,14
drinks,26
water,13
wait,31
box,6
entrees,6
soup,22
birthday,11
serving,6
cold,21
appetizers,11
lunch,6
half,10
name,9
didn,25
rock,7
salads,8
care,13
couldn,11
waiter,10
cheese,8
little,7
friend,10
sat,23
dining,9
slow,6
soups,6
husband,15
ignored,6
comes,13
offered,7
server,42
served,9
business,6
trying,6
waste,6
potato,10
gone,8
taste,8
poor,17
wife,9
worse,6
returning,9
worst,8
awful,6
steakhouse,12
tea,6
burger,10
experience,15
door,6
hour,21
sandwich,9
tried,15
coming,10
overcooked,7
attitude,7
actually,7
return,10
food,81
house,6
reason,8
terrible,9
feel,8
supposed,6
extremely,7
pretty,8
money,6
restaurants,7
won,12
probably,10
restaurant,29
empty,7
fire,8
else,7
look,6
hostess,8
frozen,6
bill,6
rib,8
arrived,17
obviously,8
person,6
tables,17
cut,9
disappointed,8
couple,8
servers,13
elsewhere,6
fries,6
called,8
evening,7
nice,17
reservation,6
ago,6
walked,12
cooked,10
dessert,6
entire,9
try,10
booth,6
reviews,6
waiting,17
busy,9
customer,9
salad,22
shrimp,8
instead,7
establishment,7
day,8
firerock,13
waitress,19
quality,8
management,12
min,15
looked,10
atmosphere,6
bring,8
chicken,14
staff,14
horrible,13
walk,6
table,55
kitchen,9
party,10
drink,24
cristo,6
literally,6
rare,6
eat,13
placed,6
minutes,49
reservations,7
baked,6
