words,count
nwe,15
sleep,17
worth,18
jack,8
tickets,14
casinos,18
enjoy,13
street,20
nthe,91
machines,14
near,15
lights,8
told,15
dry,6
kids,11
york,11
guests,6
music,6
recommend,6
tell,8
excellent,9
outdated,6
worn,10
machine,11
hot,34
answer,6
gamble,9
poker,12
wrong,10
las,23
south,7
worst,8
fit,6
expectations,6
safe,6
mean,8
saturday,7
motel,9
little,49
free,63
standard,10
ate,8
inexpensive,6
days,11
outfits,7
isn,21
wasn,31
service,52
top,9
girls,44
elevator,10
distance,10
matter,6
feeling,7
mind,6
spent,9
seen,10
regular,7
plenty,8
don,53
definitely,22
saying,6
enjoyed,8
watch,8
bar,40
bay,6
bad,48
steak,7
fair,6
decided,20
lots,10
games,11
towels,11
bathroom,25
beer,21
basic,10
expected,17
weren,9
played,8
customers,6
experience,21
airport,8
fairly,6
nif,7
nit,7
kept,9
ocean,7
left,11
yes,7
note,6
easy,13
night,89
security,6
people,35
booking,9
buffet,7
super,14
plus,18
deal,25
call,6
happy,11
head,6
hear,7
inside,17
floor,22
smell,11
update,6
weekend,25
nthis,7
beds,22
time,90
choice,8
vegas,106
bartender,9
minute,10
cool,15
quick,20
guy,13
sign,10
cost,6
drinks,33
water,25
wait,10
usually,12
love,25
hotels,28
visit,8
live,11
wood,7
car,7
reviews,17
awesome,8
staying,29
spot,8
mad,14
guys,9
maybe,13
nour,6
midnight,12
cold,9
amazing,9
spacious,10
tropicana,15
name,6
girl,9
tried,8
space,6
looking,37
internet,6
card,19
care,8
couldn,8
checked,10
friend,12
san,7
nicer,7
breakfast,15
multiple,8
price,66
paid,16
complaints,6
especially,8
average,16
rating,6
walking,17
nthey,6
cheap,74
bright,6
slot,19
slow,14
black,8
morning,16
anyways,8
parking,29
review,16
affordable,11
tub,11
dated,7
considering,7
bathrooms,6
coffee,13
pay,29
check,31
week,7
running,7
totally,7
noverall,8
money,25
rest,6
nas,7
thinking,6
except,7
real,9
fridge,7
disappointed,7
furniture,6
server,8
pickles,6
nmy,9
found,14
ladies,9
coupon,6
strip,110
aren,14
lol,9
low,10
stars,17
trying,9
dirty,12
taste,6
gambling,9
included,8
pool,92
booked,17
wife,7
wifi,9
dollar,7
carpet,9
worse,8
fan,7
rate,12
hours,20
eye,6
takes,6
charge,7
tacky,9
expedia,6
door,30
town,10
hour,14
huge,9
stayed,61
sandwich,8
okay,15
rude,7
coming,10
loud,10
playing,11
help,6
soon,6
hell,7
actually,26
late,10
resort,26
sauce,10
wouldn,11
food,65
boobies,6
walls,6
complain,7
house,6
hard,10
expect,21
issue,7
friday,7
reason,11
expecting,12
dont,6
feel,12
fancy,8
craps,8
fees,11
guess,17
comfy,12
hotel,209
believe,8
king,6
nights,24
trip,17
play,36
dealers,16
windows,6
clean,63
fine,19
pretty,68
hit,9
cheaper,10
restaurants,19
close,31
shower,27
won,12
probably,23
hooter,35
restaurant,68
upgraded,7
liked,8
slots,18
expensive,7
due,6
prices,13
look,18
tip,8
budget,17
fun,22
hooters,208
ready,11
decor,7
mins,6
grand,12
arrived,6
person,6
spend,11
tables,32
location,37
surprised,12
couple,16
game,7
blackjack,24
bit,33
wings,101
helpful,8
onion,11
run,10
tower,7
housekeeping,7
nso,6
fast,7
elsewhere,7
fries,10
fried,12
called,8
minutes,14
doesn,9
nice,95
walked,8
beers,8
friendly,24
drinking,6
try,7
giving,7
valet,7
busy,8
sink,6
casino,127
makes,9
win,13
fee,17
started,6
women,10
customer,7
salad,7
sit,8
located,13
stop,9
light,11
including,6
looks,6
perfect,11
orange,11
crash,7
front,23
day,33
pools,8
doing,9
special,18
cause,6
trashy,7
times,23
waitress,21
quality,7
lot,22
bed,34
bet,6
comfortable,21
able,6
soap,6
looked,11
anyway,8
bring,12
chicken,23
staff,31
downstairs,6
beat,12
overall,22
mgm,41
joint,6
ones,9
course,11
view,26
nthere,6
job,12
key,7
etc,7
otherwise,8
walk,37
table,38
decent,39
cent,11
value,8
bucks,19
waitresses,13
party,9
drink,11
whatever,6
desk,22
lost,6
sized,6
garage,11
didn,56
elevators,9
home,6
pressure,10
getting,18
own,9
noticed,9
eat,21
bud,8
hand,7
circus,6
compared,6
star,19
outlets,6
stay,100
kinda,7
else,17
friends,20
