words,count
chinese,19
asian,8
dish,10
try,9
pork,14
cucumbers,8
bok,7
love,17
family,9
visit,6
dumplings,17
recommend,7
yes,6
hole,7
soup,94
thin,6
times,6
hot,8
spot,10
coming,8
authentic,15
las,7
vegas,28
bowl,7
perfect,8
style,6
sauce,22
food,37
found,6
looking,7
delicious,22
little,17
service,19
spicy,28
dishes,9
tendon,20
don,11
definitely,12
pretty,6
shop,6
menu,7
chewy,7
rich,6
rice,9
taiwanese,42
tender,12
noodles,56
taiwan,9
lots,6
review,6
restaurant,18
amazing,8
wall,9
pot,20
beef,121
chili,9
chinatown,6
broth,16
cash,10
hand,7
noodle,112
flavor,16
cilantro,11
mom,9
bit,12
meat,10
night,6
people,7
chunks,6
home,9
eating,7
stew,10
favorite,9
choy,6
pickled,7
eat,7
taste,10
tasty,10
marinated,6
nice,19
time,16
fresh,6
