words,count
parmesan,9
friendly,8
dessert,6
vegas,8
salad,65
tea,12
bacon,10
burger,21
drinks,6
croutons,6
usually,6
love,13
shrimp,13
entree,7
tried,6
sauce,20
food,22
lunch,16
didn,7
wasn,6
free,6
cheese,25
little,15
service,15
happy,8
price,6
don,9
definitely,9
chicken,37
menu,17
pretty,8
bar,60
grilled,7
husband,6
restaurant,7
comes,6
tuesday,17
location,6
ruby,24
drink,9
arrived,6
burgers,8
add,6
server,6
served,6
ice,8
pasta,16
ribs,7
favorite,8
meal,17
dinner,13
coupon,6
spicy,7
eat,10
fries,7
tasty,7
cream,10
peach,6
nice,15
cooked,7
time,12
fresh,17
