words,count
asian,7
japanese,8
nthe,14
music,8
amazing,6
funny,6
meat,9
kinoko,7
little,19
free,6
bite,6
delicious,12
wasn,12
service,17
top,9
ginger,6
gravy,11
don,11
definitely,23
menu,13
games,9
garlic,21
burgers,48
mayo,7
unique,7
people,13
super,6
anime,6
inside,10
time,24
vegas,7
cool,11
seasoning,6
love,14
flavors,7
visit,8
awesome,6
katsu,12
maybe,6
truck,25
cute,7
name,8
didn,9
cheese,7
white,6
jazz,15
fukuburger,6
flavor,8
nmy,7
meal,13
strip,6
spicy,12
taste,7
tasty,11
messy,7
burger,146
experience,9
options,6
huge,8
sandwich,6
tried,10
egg,27
actually,6
sauce,36
food,55
juicy,7
pretty,25
restaurant,13
patty,6
liked,10
sweet,9
tip,6
fun,8
decor,6
location,17
bit,13
sauces,7
fries,75
fried,13
nice,16
cooked,13
fresh,11
friendly,12
try,18
sit,7
instead,6
day,6
quality,6
lot,7
loved,7
fuku,32
tamago,28
atmosphere,8
chicken,12
staff,8
combo,11
overall,10
crack,10
mushrooms,10
bun,7
eat,9
