words,count
nwe,9
attentive,7
worth,36
enjoy,8
chef,10
nthe,44
items,29
meats,6
total,7
recommend,10
haha,11
glass,16
excellent,11
foods,9
las,9
oysters,25
bread,10
meat,6
meal,19
nif,6
little,23
free,7
ate,8
wasn,23
service,54
top,21
legs,33
rewards,6
serve,16
seated,14
raw,6
mashed,6
don,27
definitely,21
enjoyed,10
nservice,9
menu,7
bar,14
bad,13
steak,8
sturgeon,9
claws,17
buffets,27
life,6
sushi,26
plates,12
dark,6
butter,12
dishes,6
yes,18
easy,6
people,11
bisque,16
medium,6
inside,12
check,6
tip,10
weekend,6
time,37
vegas,47
cool,6
drinks,8
filled,6
french,8
wait,12
love,6
chocolate,12
heard,6
sunday,18
cocktail,9
maybe,7
course,6
cold,8
amazing,14
tails,51
half,8
name,6
blt,10
looking,11
card,11
couldn,6
waiter,14
mignon,22
stuffed,6
breakfast,11
sat,6
dining,10
price,31
buffet,99
seafood,18
wynn,6
prime,26
comes,6
sauce,8
squeezed,7
pay,7
trip,8
money,12
real,6
walk,9
disappointed,6
server,17
potatoes,6
served,10
seating,6
lobster,144
favorite,7
start,8
lot,10
tasty,10
offered,9
included,8
sashimi,9
tail,15
fan,9
steakhouse,22
past,7
section,10
reason,11
experience,24
none,7
station,15
huge,8
chops,9
freshly,8
tried,9
overcooked,11
actually,19
food,75
sundays,8
found,9
sterling,50
delicious,22
popovers,7
house,6
expect,11
bass,7
american,7
fruit,6
feel,7
fancy,6
benedict,6
wonderful,7
hotel,12
king,27
juice,15
eggs,6
salmon,6
notch,6
fine,7
pretty,23
sea,8
tender,7
creme,7
champagne,93
restaurant,19
liked,8
expensive,10
empty,9
pricey,6
perrier,16
look,8
mimosas,6
ready,9
rib,25
person,23
lobsters,7
roasted,6
tables,9
couple,6
unlimited,21
bit,24
jouet,15
eating,13
visit,6
servers,6
filet,30
line,11
jumbo,7
nice,17
reservation,18
ago,7
cooked,12
fresh,34
desserts,17
friendly,7
waiters,7
dessert,32
try,24
rack,9
waiting,7
casino,6
crab,69
bally,24
tax,10
tag,8
shrimp,22
lamb,36
orange,12
front,7
glasses,12
ambiance,7
times,7
quality,35
stars,14
loved,7
looked,7
selection,23
bring,6
won,7
ones,7
probably,10
stuff,8
etc,11
otherwise,6
table,22
drank,7
reservations,13
finished,6
brunch,115
choices,6
party,7
drink,11
variety,9
didn,26
rare,10
own,6
caviar,75
strawberries,8
eat,37
wish,6
minutes,12
star,9
