words,count
paris,7
friendly,12
vegas,14
salad,8
try,7
almond,19
nthe,8
french,39
usually,6
makes,6
visit,9
chocolate,15
town,9
huge,6
amazing,7
sandwich,10
tried,8
las,8
croissant,22
bakery,27
perfect,7
coffee,16
food,15
day,8
bread,10
found,6
looking,7
cheese,9
delicious,12
little,8
service,7
pastry,8
sandwiches,6
don,10
definitely,7
chicken,6
outside,7
husband,7
review,6
bonjour,25
fruit,6
croissants,26
love,11
sweet,6
real,6
nice,11
people,6
favorite,7
pastries,29
son,8
france,6
crepe,6
cake,15
taste,8
time,19
fresh,7
