words,count
nwe,7
friendly,18
town,7
vegas,25
nthe,6
crust,12
love,19
family,11
slices,9
excellent,7
hot,6
pizza,162
tried,7
las,7
perfect,13
style,10
sauce,8
food,15
lunch,14
try,8
quality,7
little,7
york,10
times,6
pepperoni,20
cheese,21
delicious,18
wasn,6
service,22
don,12
definitely,14
clean,8
wow,7
atmosphere,6
staff,15
dough,6
joe,16
crispy,7
amazing,15
prices,10
ready,6
decor,7
location,7
wings,6
people,12
slice,30
super,7
favorite,12
strip,6
delivery,7
eat,11
taste,7
nice,16
pizzas,10
time,16
fresh,12
