words,count
nwe,9
nthe,12
ayce,19
told,17
items,7
warm,8
times,14
wrong,7
meal,7
wasn,7
service,60
top,6
seated,8
mins,8
don,27
definitely,11
menu,14
rice,30
bar,15
twice,8
bad,22
decided,8
uni,7
sushi,74
left,13
people,17
dinner,8
tell,12
check,6
tip,6
roll,14
time,36
manager,19
finally,7
eating,10
wait,10
love,8
visit,7
reviews,10
lunch,7
didn,30
rolls,27
couldn,10
tasted,8
price,6
slow,10
review,9
pay,6
finish,6
charged,6
money,7
server,24
served,8
chefs,6
stars,6
taste,9
cream,9
worst,16
experience,14
town,8
hour,6
tried,6
rude,6
coming,13
paper,6
actually,8
food,60
fish,30
terrible,8
feel,7
salmon,10
pretty,7
please,6
probably,6
attention,6
restaurant,21
else,6
look,8
bill,9
tables,8
cut,6
disappointed,8
servers,7
jjanga,18
fresh,14
try,10
waiting,10
busy,9
crab,8
started,6
salad,7
instead,7
waitress,10
quality,9
min,9
looked,7
horrible,12
table,24
nigiri,12
decent,7
waitresses,6
party,7
literally,6
host,7
eat,21
minutes,17
star,11
yelp,9
