words,count
sashimi,7
dressing,6
friendly,10
vegas,7
try,11
japanese,7
chef,22
nthe,16
drinks,7
cooking,8
staff,9
kids,10
experience,9
family,7
private,6
meats,6
sake,7
recommend,11
excellent,11
salad,17
worth,7
soup,13
times,6
amazing,6
ohjah,25
tried,6
choose,6
food,51
didn,8
rolls,9
teppanyaki,10
free,8
delicious,9
quality,9
little,13
service,24
loved,6
hibachi,63
seated,6
shrimp,13
salmon,8
don,8
definitely,15
entertaining,11
atmosphere,9
chicken,10
menu,14
pretty,7
rice,25
soon,6
stars,6
scallops,9
portions,7
bar,10
steak,9
decided,6
noodles,9
table,12
restaurant,18
fun,11
sushi,34
funny,6
party,8
love,13
tables,8
dining,6
bit,7
onion,11
night,6
chefs,10
meal,10
dinner,15
prices,6
filet,9
fried,21
tasty,7
roll,14
nice,14
friends,8
yelp,8
cooked,9
time,14
fresh,6
