words,count
nwe,7
nthe,13
ayce,25
told,8
items,8
wrong,6
ate,6
wasn,11
service,42
kept,7
don,10
definitely,7
menu,9
rice,15
bar,7
bad,9
decided,6
uni,6
sushi,57
customers,9
tuna,11
left,8
brought,7
night,12
people,9
dinner,14
check,10
roll,6
time,24
chair,6
finally,7
eating,8
kama,6
wait,9
reviews,17
maybe,6
appetizers,6
lunch,11
half,6
name,7
didn,17
little,9
white,6
friend,6
tasted,6
sat,8
price,6
review,11
pay,6
server,17
stars,6
spicy,8
forget,7
servers,12
sakana,10
experience,6
charge,6
huge,7
sauce,12
food,30
eat,16
fish,29
friday,6
salmon,9
pretty,10
restaurant,14
sweet,6
empty,9
else,8
tables,8
bit,6
rolls,20
nice,8
fresh,14
try,11
waiting,8
day,8
times,12
quality,18
lot,8
staff,6
table,26
nigiri,17
taste,7
party,7
minutes,10
yelp,8
