words,count
nthe,22
told,14
nwhen,6
tell,7
times,6
hot,11
wrong,6
saigon,14
meat,13
little,29
wasn,12
service,33
seated,8
don,14
definitely,6
busy,7
rice,21
plate,12
bad,17
decided,6
biet,6
tasted,9
beef,9
broth,20
kim,6
left,11
night,13
people,14
time,25
finally,6
vegas,20
leave,7
guy,11
pork,6
water,12
wait,16
usually,11
love,7
soup,20
spot,6
maybe,10
half,8
didn,30
rolls,13
couldn,8
waiter,10
sat,6
price,7
hungry,8
review,12
considering,6
cash,7
pay,10
bowl,21
check,8
taxi,8
flavor,8
served,8
meal,6
strip,6
trying,9
expect,6
taste,15
alright,6
dish,7
hours,9
experience,7
family,8
town,7
hour,6
okay,13
tried,10
rude,14
coming,10
egg,7
actually,7
late,7
sauce,7
food,52
hard,7
guess,10
feel,7
pretty,16
restaurants,6
probably,6
restaurant,18
expensive,9
due,7
damn,6
mind,6
else,8
bill,6
noodle,6
tables,10
bit,18
spring,12
stew,6
nso,6
servers,8
vietnamese,9
try,9
eating,7
menu,10
makes,6
customer,11
instead,8
dac,6
front,9
day,7
special,8
cause,6
lot,10
dishes,8
looked,9
chicken,14
walk,10
table,13
decent,7
seasoned,6
pho,147
noticed,8
eat,12
minutes,17
star,10
