words,count
nwe,18
paris,7
sorry,6
worth,28
bacon,6
nthe,33
fingers,9
told,13
meh,11
dry,15
brought,8
total,7
recommend,6
glass,8
hot,20
pizza,7
wrong,12
coffee,8
bread,10
filling,6
meal,20
velvet,9
ate,6
loud,11
wasn,41
service,85
top,9
seated,19
mind,10
don,28
definitely,15
annoyed,6
saying,6
overpriced,19
enjoyed,12
toast,7
busy,12
menu,42
sugar,56
plate,6
cappuccino,8
appetizer,6
bar,18
bad,29
steak,26
decided,12
kitchen,6
bachelorette,8
groupon,12
expected,9
weren,7
nit,9
burgers,6
left,9
yes,6
unique,6
night,21
people,26
ice,28
super,6
dollars,6
dinner,16
happy,9
medium,6
inside,6
mediocre,22
tip,13
nthis,8
skip,6
manager,16
milk,9
yummy,11
charge,10
vegas,27
cool,6
sucky,6
dip,19
cost,8
drinks,67
french,22
water,14
wait,26
weird,7
club,11
chocolate,53
reviews,8
soup,12
bites,6
sundae,9
write,6
cocktail,8
overall,10
spot,8
mac,11
birthday,10
crepe,26
maybe,20
cute,10
serving,6
course,9
marshmallows,6
cold,8
appetizers,8
amazing,12
lunch,12
half,13
name,14
didn,47
factory,58
looking,10
care,7
couldn,12
waiter,31
waited,8
cheese,27
little,24
bite,6
white,16
friend,28
eyes,6
boyfriend,8
tasted,25
breakfast,22
sat,17
cheesecake,8
price,22
forever,8
average,10
shop,7
walking,7
slow,7
attitude,6
husband,7
seat,9
cocktails,10
outside,14
whipped,6
comes,8
par,6
pay,10
check,15
alfredo,6
charged,7
rest,6
flavor,9
disappointed,13
server,38
served,13
fondue,10
overly,7
nmy,9
start,7
lot,9
trying,9
taste,16
tasty,10
cream,29
poor,8
time,60
dish,17
paying,11
sitting,10
fan,7
cookies,6
burger,23
pass,7
hours,6
experience,21
amount,10
options,9
finally,14
door,7
basically,6
goblets,6
town,6
hour,6
salty,7
huge,13
sandwich,21
okay,14
tried,10
rude,9
coming,8
crowded,9
patio,7
actually,11
late,9
sauce,18
wouldn,20
return,7
food,149
stopped,6
delicious,12
hard,15
expect,10
alcohol,10
guess,7
terrible,12
expecting,6
feel,8
bland,9
syrup,6
banana,14
store,13
hotel,7
believe,6
eggs,8
extremely,7
fine,7
pretty,42
money,15
won,8
probably,18
restaurant,49
barely,10
liked,6
simple,6
sweet,17
expensive,16
empty,6
else,14
pricey,15
understand,6
prices,12
look,9
hostess,19
frozen,10
bill,16
fun,14
disappointing,11
decor,6
mins,6
sliders,7
arrived,6
person,7
tables,17
cut,7
goblet,15
location,7
excited,7
couple,7
bit,14
absolutely,6
bellagio,16
eating,10
visit,9
fries,19
fried,7
called,10
nice,27
reservation,10
cooked,9
desserts,11
dessert,27
try,16
nfood,8
waiting,8
nservice,8
casino,7
sort,6
tax,6
rare,8
customer,8
salad,19
serendipity,6
sit,9
instead,8
artichoke,6
front,8
day,10
strip,26
special,18
red,14
times,11
waitress,20
quality,19
gummy,9
stars,21
min,6
waffles,23
fountains,13
looked,21
atmosphere,6
chicken,46
staff,16
view,19
horrible,13
etc,6
walk,7
table,45
decent,10
brunch,7
bucks,8
party,26
drink,50
single,7
onion,6
candy,32
home,6
pasta,21
getting,10
friends,14
eat,28
cake,8
minutes,28
star,13
priced,15
