words,count
nwe,10
parmesan,10
captain,14
dessert,8
vegas,15
little,15
list,6
specials,15
nthe,11
drinks,6
mussels,8
water,13
items,6
experience,8
excellent,7
salad,6
worth,7
huge,9
amazing,11
entree,6
wine,16
appetizers,15
main,7
sauce,12
food,34
bread,13
risotto,7
meal,16
delicious,8
special,7
free,6
waiter,8
cheese,14
service,28
loved,7
seated,6
dishes,9
dining,13
zucchini,9
price,7
don,10
fine,8
enjoyed,7
menu,18
appetizer,8
mulino,7
husband,7
restaurants,8
probably,6
restaurant,19
table,12
expensive,7
ravioli,13
mushroom,6
bruschetta,8
bill,6
garlic,6
veal,8
bottle,6
grappa,6
tip,14
night,6
served,6
italian,14
didn,7
people,6
lobster,6
truffle,7
pasta,10
shrimp,6
dinner,17
complimentary,11
stars,6
fried,6
taste,6
tasty,6
nice,13
star,6
time,14
