words,count
nwe,14
sleep,13
worth,7
school,9
casinos,11
enjoy,7
nthe,51
monorail,6
hate,6
smoke,10
total,7
music,10
recommend,12
amazing,21
wrong,11
las,17
dealer,9
little,29
free,21
standard,8
days,8
isn,15
floors,6
service,26
elevator,25
rates,11
distance,6
told,7
spending,6
shower,13
palace,76
mind,11
seen,9
luxury,6
don,39
dog,10
definitely,25
entertaining,10
enjoyed,7
watch,8
bar,23
bad,33
hours,6
games,6
com,7
bathroom,8
basic,6
expected,9
air,6
near,9
couple,10
nif,9
nit,11
kept,7
yes,22
easy,19
save,6
night,71
security,11
deal,29
people,64
ice,9
buffet,21
super,21
dollars,8
plus,15
stuck,9
call,9
happy,12
hear,10
inside,9
trip,17
floor,36
smell,12
weekend,22
nthis,6
beds,12
time,88
advantage,7
vegas,128
minute,7
cool,11
leave,8
quick,7
drinks,24
goes,6
water,17
wait,6
love,22
extra,11
hotels,28
entrance,6
car,6
reviews,26
mirrors,7
awesome,29
heard,7
spa,7
till,8
staying,23
spot,6
guys,7
remember,6
maybe,6
hot,10
main,6
half,7
gamble,11
jackson,7
looking,25
seriously,9
card,9
couldn,7
waited,7
size,8
city,6
checked,9
slept,6
friend,10
breakfast,13
nicer,11
impersonators,10
price,42
paid,13
sheets,9
complaints,8
rating,6
walking,11
wynn,9
cheap,71
nall,6
centrally,8
morning,9
college,9
parking,27
review,8
outside,10
reading,7
affordable,7
tub,38
considering,7
sleeping,7
middle,35
bags,8
pay,17
check,48
noverall,7
money,34
rest,9
nas,6
except,7
read,7
tower,16
nbut,10
nmy,7
central,11
mean,9
strip,119
aren,13
hey,7
lol,7
low,12
lot,22
trying,6
dirty,6
gone,6
girlfriend,6
gambling,12
pool,33
booked,14
deluxe,14
dollar,9
song,6
fat,8
celebrity,11
past,6
toilet,6
hash,8
wasn,16
experience,12
action,6
flat,6
door,22
karaoke,7
none,7
hour,13
huge,18
stayed,59
okay,6
loud,10
playing,8
caesars,6
actually,10
late,8
resort,8
wouldn,6
return,6
food,24
complain,10
found,14
house,13
hard,9
idea,6
expect,10
guess,15
reason,10
feel,12
fancy,10
craps,8
comfy,13
dealertainers,19
store,6
hotel,174
believe,7
king,10
supposed,6
nights,17
self,8
caesar,9
club,9
play,12
dealers,19
sometimes,9
clean,49
booze,6
fine,7
pretty,45
restaurants,16
close,10
pictures,6
won,8
probably,11
restaurant,9
upgraded,12
expensive,9
due,7
prices,8
look,20
budget,14
fun,35
spent,11
person,7
spend,17
tables,14
lady,8
location,57
complaint,6
blackjack,14
bit,18
absolutely,10
mirror,8
singing,6
bellagio,11
run,8
housekeeping,7
extremely,6
fast,8
elsewhere,7
line,19
called,9
minutes,17
doesn,17
nice,48
walked,9
suite,22
friendly,25
michael,8
try,7
slow,7
waiting,8
cab,6
casino,83
didnt,6
located,24
instead,6
mentioned,6
bunch,9
perfect,22
front,22
doing,8
special,6
entertainment,8
times,23
stars,20
loved,14
roulette,7
bed,44
comfortable,13
able,9
unless,9
looked,14
atmosphere,6
anyway,9
bring,7
staff,29
means,6
beat,10
overall,10
lucky,6
ghetto,9
course,9
stuff,8
view,22
nthere,6
luv,11
taking,6
etc,16
walk,20
table,20
decent,14
circus,6
smoking,6
bucks,9
party,16
drink,9
lobby,6
center,15
drunk,7
day,26
checking,8
five,11
desk,11
flamingo,9
helpful,7
garage,6
didn,47
elevators,34
getting,20
own,7
imperial,64
buy,7
construction,8
eat,12
venetian,10
balcony,21
book,8
star,25
monday,6
stay,89
harrah,14
kinda,6
else,14
friends,20
yelp,9
