words,count
milk,9
town,6
teas,8
try,17
enjoy,9
tea,24
almond,11
cozy,10
avery,40
love,28
highly,6
iced,7
visit,6
music,7
excellent,7
customer,12
friendly,25
awesome,6
sit,6
amazing,16
sandwich,6
spot,11
latte,17
coming,8
vegas,6
patio,6
cute,8
cold,10
perfect,7
food,13
lunch,9
starbucks,8
didn,9
panini,13
roast,13
square,8
house,10
owner,9
books,12
little,15
owners,20
times,6
feel,8
delicious,16
quality,14
service,29
wonderful,6
friend,7
loved,6
nthe,8
breakfast,15
don,6
definitely,14
clean,6
brew,13
shop,32
atmosphere,15
selection,10
enjoyed,6
staff,12
menu,7
outside,6
local,14
stop,6
gem,6
available,6
coffee,169
sweet,6
village,7
chai,7
relaxing,7
prices,10
vanilla,8
shops,11
drink,7
fantastic,6
roasted,11
cup,19
book,7
read,6
linda,15
seating,6
people,6
home,17
sherman,12
business,10
super,7
favorite,9
beans,13
pastries,6
own,8
offer,6
recommend,13
taste,7
cafe,12
check,7
nice,23
yelp,12
time,22
fresh,16
