words,count
nwe,7
worth,11
bacon,10
nthe,18
pancakes,11
recommend,9
excellent,9
las,7
potatoes,31
meal,33
ate,14
veggie,8
delicious,24
service,43
top,6
gambler,12
seated,8
mashed,25
nachos,7
don,12
definitely,17
toast,15
menu,41
grilled,9
steak,93
else,7
garlic,6
night,22
people,18
super,6
diner,14
dinner,15
plus,7
deal,29
portions,7
inside,6
trip,10
rancheros,7
potato,7
nthis,6
vegas,66
quick,12
drinks,7
french,13
wait,9
usually,7
love,19
bloody,8
visit,6
club,8
soup,6
awesome,16
staying,9
spot,6
thank,6
amazing,20
lunch,11
didn,8
rock,48
looking,6
huevos,6
cheese,10
little,15
quality,6
bite,8
specials,6
breakfast,47
price,15
cheap,7
prime,25
morning,18
review,12
comes,7
attentive,7
server,14
shrimp,49
stars,11
card,8
time,27
burger,14
hours,7
hour,6
huge,13
stayed,6
egg,6
actually,8
late,13
food,83
hard,47
feel,8
hotel,26
eggs,28
pretty,9
hit,6
restaurant,15
gamblers,6
secret,8
prices,7
rib,24
cut,6
bit,8
luckys,7
eating,6
extremely,6
fries,6
fried,6
nice,21
cooked,22
fresh,10
friendly,16
try,15
casino,18
makes,6
salad,27
perfect,10
day,15
strip,11
special,60
times,14
waitress,9
perfectly,10
atmosphere,6
chicken,16
staff,13
beat,8
lucky,34
decent,12
drink,7
eat,36
star,6
stay,7
friends,10
