words,count
worth,13
vegas,17
worst,6
ticket,7
tickets,22
entire,9
nthe,9
water,13
love,6
synchronized,7
music,12
recommend,9
soleil,13
acts,14
reve,13
pay,6
office,7
performance,8
actually,6
didn,15
mystere,6
cirque,35
times,6
story,16
believe,7
performers,14
boring,17
seen,25
price,8
paid,12
don,18
storyline,7
hyped,7
enjoyed,6
slow,7
watch,13
clowns,12
seat,7
asleep,7
horrible,6
probably,6
amazing,8
expensive,10
waste,15
acrobatics,11
funny,11
spent,9
money,30
seats,11
disappointed,11
audience,8
nice,6
seating,6
people,14
stage,19
act,7
swimming,10
lot,8
bored,8
line,8
minutes,11
circus,7
star,7
fell,6
friends,6
pool,8
wife,8
time,23
