words,count
school,12
casinos,17
street,19
nthe,13
machines,8
smoke,6
recommend,7
amazing,7
gamble,9
poker,6
las,21
deck,8
coffee,7
free,12
days,6
service,8
don,12
definitely,13
bar,10
night,16
people,12
floor,10
time,24
vegas,71
cool,8
drinks,6
love,20
visit,9
downtown,26
awesome,8
staying,11
cocktail,9
looking,9
little,12
price,9
cortez,52
cheap,9
slot,7
parking,7
review,6
pay,8
cabana,7
check,12
real,7
tower,10
favorite,7
strip,27
low,6
lot,8
gambling,17
suites,11
hours,7
experience,11
town,6
beautiful,7
stayed,18
actually,9
food,20
feel,6
hotel,32
play,11
dealers,9
clean,20
locals,7
slots,19
else,7
fun,10
location,7
fremont,15
game,11
blackjack,14
helpful,6
single,7
nice,15
suite,7
friendly,19
valet,8
casino,44
times,10
roulette,7
comfortable,11
staff,13
view,8
walk,6
table,15
vintage,8
desk,6
bus,6
stay,23
