words,count
almond,6
nthe,10
kids,6
times,9
green,7
velvet,13
little,18
free,7
delicious,6
service,14
grind,6
regular,6
don,16
definitely,7
menu,10
sugar,9
decided,7
cup,8
madhouse,16
chill,6
night,10
people,10
super,10
mocha,18
medium,9
milk,7
cool,13
drinks,21
thru,6
chocolate,10
spot,6
latte,17
didn,12
coconut,10
hookah,8
drive,10
shop,17
coffee,93
flavor,10
real,6
lot,7
taste,6
cream,6
time,18
wifi,7
tea,15
hours,15
hour,6
huge,7
sandwich,10
tried,10
macarons,8
actually,6
late,7
food,13
starbucks,14
house,11
feel,7
sandwiches,7
blended,8
pretty,16
caramel,10
probably,9
sweet,15
prices,12
love,6
bit,8
chai,7
nice,24
friendly,14
try,20
fine,6
makes,7
iced,16
vibe,6
day,6
red,18
stars,9
atmosphere,10
selection,6
nutella,7
staff,12
decent,6
drink,28
pastries,14
star,12
macchiato,6
