words,count
nwe,9
worth,13
venue,16
enjoy,7
nthe,48
near,9
told,10
guestlist,8
music,99
recommend,8
afrojack,8
bartender,10
song,8
hot,18
hop,35
wrong,7
ndrinks,6
nmusic,7
mean,9
saturday,9
god,6
hang,7
little,29
free,40
techno,7
isn,6
wasn,34
service,59
top,20
girls,56
feeling,11
bouncer,19
seen,8
regular,6
plenty,6
don,57
definitely,26
layout,12
folks,6
wearing,6
stop,6
bar,35
bad,35
decided,12
bachelorette,7
amazing,12
bathroom,12
expected,11
chill,7
air,6
weren,10
played,15
bottles,12
waterfall,100
nit,7
kept,8
left,17
thanks,8
yes,6
easy,11
night,96
security,9
crowd,49
people,100
staff,8
clubs,44
super,12
dollars,6
deal,11
surrender,8
inside,23
tell,10
shit,7
floor,83
tip,8
weekend,15
time,93
songs,11
dance,113
manager,6
wynn,26
charge,6
vegas,90
cool,27
leave,7
guy,24
cost,6
drinks,61
water,13
wait,39
usually,7
love,11
dude,10
entrance,10
club,226
crazy,8
awesome,16
heard,9
plus,13
spot,13
guys,48
remember,7
maybe,17
thank,6
main,8
half,9
drop,9
girl,21
space,15
looking,22
seriously,9
card,6
care,8
couldn,12
waited,9
friend,29
unfortunately,7
interior,7
paid,10
especially,15
average,11
walking,9
shot,6
outside,42
anyways,6
review,8
pole,7
cash,9
bathrooms,6
heels,6
pay,34
check,12
totally,8
bottle,38
ntryst,6
outdoor,18
money,19
dancers,14
rest,9
real,12
seating,14
dancefloor,11
stand,15
mixed,14
ladies,20
aren,15
start,9
stars,7
trying,16
agree,6
moved,7
poor,6
alright,6
thursday,17
bouncers,24
sitting,6
list,31
past,10
pass,6
hours,10
experience,14
vip,28
finally,9
gorgeous,15
door,8
basically,12
hour,12
male,6
beautiful,38
dress,7
huge,20
okay,8
tried,11
rude,7
coming,8
short,7
crowded,35
playing,6
patio,8
soon,8
actually,15
wouldn,13
bigger,8
easily,6
everytime,8
found,10
house,24
hard,6
expect,7
ass,9
drink,31
friday,13
reason,6
dont,13
feel,15
feet,7
passes,6
guess,13
guest,27
hotel,6
stairs,8
dancing,29
play,12
tryst,125
cover,24
noverall,6
fine,6
pretty,91
hip,35
hit,10
bars,10
set,11
close,10
won,6
probably,32
liked,13
expensive,21
empty,6
else,14
prices,9
look,14
fun,29
decor,18
arrived,8
person,8
tables,31
cuz,7
couple,15
bit,16
marquee,6
visit,6
line,83
stripper,8
nice,57
walked,15
edm,6
try,13
booth,15
waiting,15
sexy,7
didnt,8
makes,12
standing,7
fee,9
women,9
meet,6
tao,13
sit,23
vibe,9
lines,7
classy,6
bartenders,13
move,20
looks,7
bunch,6
front,16
day,7
doing,6
cause,6
red,11
times,21
waitress,8
scene,9
lot,25
exactly,7
able,13
mix,19
unless,14
looked,7
lots,17
atmosphere,13
midnight,8
overall,9
course,6
view,14
packed,33
taking,7
walk,14
table,75
decent,11
promoter,17
party,23
drunk,17
didn,55
literally,8
host,8
getting,27
tiny,6
female,6
minutes,10
compared,7
star,14
stay,9
kinda,10
friends,31
