words,count
chinese,29
dumpling,9
friendly,11
garden,6
vegas,9
dim,113
try,10
pork,29
sum,113
cart,16
wait,7
experience,8
fantastic,6
love,20
family,7
highly,8
recommend,9
excellent,14
town,9
awesome,8
tried,6
stars,6
coming,11
mai,7
carts,18
buns,16
egg,8
hot,19
food,67
lunch,7
instead,6
delicious,16
quality,8
little,14
service,38
stuffed,7
lot,7
nthe,6
dishes,9
regular,10
summerlin,7
don,16
definitely,13
clean,21
chicken,16
staff,8
menu,15
pretty,6
rice,17
shu,6
noodles,6
probably,6
restaurant,21
amazing,10
eggplant,6
sweet,7
beef,7
bbq,8
prices,18
chinatown,11
dumplings,23
pan,7
steamed,14
bit,7
har,6
orchid,7
favorite,11
shrimp,23
chive,13
eat,8
fried,23
tasty,9
cafe,6
cream,6
nice,13
star,12
time,15
fresh,33
baked,9
