words,count
limited,7
nwe,19
worth,16
enjoy,7
bacon,25
nthe,55
weren,8
pancakes,7
items,13
fantastic,9
highly,10
music,6
recommend,25
glass,6
excellent,27
henry,118
vodka,6
veggies,6
amazing,39
yum,11
wrong,6
las,11
avocado,6
coffee,38
bread,16
meat,16
potatoes,26
reasonable,10
bond,11
waffle,6
saturday,7
little,40
free,8
ate,21
arrived,9
wasn,31
service,86
top,12
reuben,6
tot,8
serve,13
seated,18
mind,8
hollandaise,13
gravy,6
mashed,6
regular,8
don,27
definitely,48
chandelier,6
enjoyed,20
toast,48
busy,10
menu,41
plate,15
watch,8
bar,36
nicely,7
twice,10
bad,8
steak,29
decided,8
lots,8
cup,6
beef,14
quickly,8
near,11
upscale,7
split,8
nit,7
dishes,8
burgers,12
hearty,9
nachos,9
smoked,6
left,11
yes,6
ham,10
easy,8
night,71
people,44
super,13
diner,8
dinner,22
plus,10
happy,11
medium,10
portions,12
inside,28
tell,6
floor,17
marys,6
roll,11
weekend,6
potato,27
nthis,7
yummy,10
brown,7
choice,14
vegas,71
bartender,13
cool,8
level,6
quick,15
dip,33
eating,8
drinks,17
french,72
water,6
snack,6
wait,26
cinnamon,8
love,21
extra,8
bloody,24
visit,10
entrance,11
club,8
chocolate,9
soup,30
ribs,12
awesome,24
watching,12
sunday,10
staying,9
spot,36
date,9
remember,7
nour,6
cute,6
serving,8
lunch,23
half,7
name,7
didn,29
morning,16
looking,15
couldn,8
waiter,14
waited,8
cheese,38
fast,9
size,15
bite,11
friend,12
boyfriend,8
tasted,11
breakfast,198
sat,9
note,7
dining,17
price,21
especially,8
average,8
hungry,11
larry,6
salt,6
corned,6
slow,16
outside,11
prime,20
cocktails,8
comes,15
pot,7
mary,22
attentive,11
squeezed,9
trip,15
week,8
oil,12
fruit,13
omelette,13
burrito,22
noverall,8
rest,6
braised,7
flavor,17
server,30
served,23
nice,63
filling,6
tots,82
nmy,15
favorite,13
meal,30
strip,35
start,7
lot,9
jus,9
omelet,26
taste,14
tasty,30
cream,13
time,52
wife,9
dish,19
dressing,7
sitting,7
fan,10
burger,30
casual,8
hash,28
hours,11
pleasant,8
experience,19
amount,15
options,13
glad,7
hour,13
beautiful,8
salty,14
huge,15
browns,12
sandwich,41
okay,6
tried,12
coming,11
short,52
loud,7
egg,16
bowl,6
dine,6
actually,20
late,50
sauce,23
wouldn,8
return,13
food,153
found,9
delicious,61
fish,15
expect,8
american,6
benedict,48
wonderful,9
syrup,8
option,14
hotel,40
juicy,7
juice,14
caesar,9
added,6
eggs,83
salmon,14
extremely,8
traditional,15
fine,6
pretty,42
hit,8
restaurants,12
tender,12
close,7
won,8
probably,9
restaurant,50
liked,13
drunk,10
sweet,11
whatever,6
crispy,24
expensive,10
flavorful,12
else,10
prices,22
look,10
hostess,8
solid,16
healthy,6
fun,11
casino,33
rib,57
decor,10
tables,7
horseradish,7
location,11
surprised,6
complaint,7
bit,30
wings,10
marquee,6
partying,7
absolutely,7
delish,6
nso,7
impressed,8
line,7
fries,21
fried,10
doesn,8
ingredients,6
cafe,10
prepared,6
reservation,8
meals,11
walked,10
cooked,17
fresh,30
friendly,31
dessert,6
drinking,6
try,26
sausage,20
waiting,9
nservice,9
nfrench,6
apple,7
crab,8
cosmo,44
rare,8
salad,30
meet,6
onions,7
sit,13
located,25
instead,10
stop,8
tomato,6
poached,11
light,6
honestly,6
classy,6
martini,10
perfect,24
orange,10
covered,6
front,6
day,48
ambiance,9
special,10
times,21
quality,14
perfectly,17
fluffy,6
stomach,8
stars,15
exactly,7
loved,12
comfortable,7
spicy,9
cosmopolitan,63
able,7
hangover,8
mix,7
looked,11
atmosphere,13
selection,10
chicken,45
staff,30
trying,7
overall,17
chips,17
course,9
grab,6
job,7
tater,51
walk,7
table,19
decent,20
seasoned,7
brunch,31
value,7
choices,9
party,10
drink,12
onion,22
chairs,6
soft,10
sourdough,6
home,8
truffle,56
getting,9
hot,10
own,7
expected,10
eat,32
empty,6
cake,14
minutes,6
pie,6
star,10
stay,12
priced,6
friends,10
pricey,16
portion,13
