words,count
asian,11
worth,32
enjoy,6
nthe,26
told,19
dry,11
items,7
employees,7
brought,7
recommend,10
tell,7
foods,10
times,11
sitting,9
pizza,7
wrong,9
las,11
waited,14
meat,8
meal,15
mean,8
little,16
free,6
ate,9
wasn,17
service,27
top,6
legs,30
wasted,6
seated,35
friend,16
talking,6
don,35
definitely,6
rice,13
plate,13
bar,9
bad,22
decided,12
lots,7
beef,9
buffets,31
sushi,14
left,13
yes,11
save,6
night,13
people,46
ice,8
discount,10
buffet,173
dinner,20
average,6
trip,6
tip,8
nthis,6
time,35
manager,25
disgusting,8
finally,13
vegas,35
leave,6
wait,27
usually,6
extra,6
visit,8
soup,6
ribs,8
awesome,6
heard,11
maybe,13
talk,6
refund,9
cold,15
half,17
bullshit,6
didn,33
downhill,6
looking,18
seriously,8
card,7
care,9
couldn,9
carnival,23
waiter,7
cheese,6
yourself,8
bite,6
boyfriend,6
tasted,16
sad,8
tastes,8
breakfast,13
dining,8
price,21
paid,12
especially,9
seafood,18
quantity,11
cheap,10
prime,24
seat,6
review,10
paying,7
mediocre,9
pay,28
week,6
money,27
flavor,14
world,25
server,14
seating,10
gross,8
stations,6
favorite,6
coupon,6
strip,7
start,7
low,7
stars,11
trying,9
gone,16
taste,18
moved,6
fill,7
chinese,15
fat,6
worst,17
past,8
zero,6
pass,9
section,10
hours,6
experience,19
options,6
family,13
town,9
hour,12
salty,9
huge,9
tried,16
rude,15
coming,6
mexican,11
actually,11
wouldn,13
food,196
found,6
hard,6
expect,6
health,6
cockroach,6
terrible,9
american,9
bland,12
guess,9
station,18
hotel,11
self,6
pretty,19
locals,12
won,6
probably,13
restaurant,14
expensive,6
else,16
hostess,10
frozen,7
rio,55
rib,23
anymore,6
person,20
spend,6
tables,10
disappointed,11
customers,6
couple,9
bit,8
bellagio,6
eating,18
crap,12
rolls,6
line,57
fried,11
called,9
nice,11
ago,6
cooked,11
fresh,15
desserts,14
dessert,22
try,21
reviews,9
waiting,14
casino,12
crab,33
customer,6
salad,8
shrimp,11
sit,8
instead,12
lines,16
front,8
day,11
doing,8
completely,7
quality,41
lot,11
bother,8
able,8
looked,13
selection,23
chicken,17
staff,14
local,6
horrible,9
etc,6
walk,12
table,25
decent,7
waste,9
crappy,6
choices,6
party,13
cream,8
drink,7
lunch,11
variety,8
literally,6
getting,10
eat,50
minutes,20
worse,10
sick,9
star,13
priced,6
friends,11
yelp,8
gelato,15
