words,count
nthe,13
told,25
brought,10
bartender,14
hot,6
tip,7
wasn,7
service,67
girls,16
mins,9
don,18
bar,46
bad,14
games,6
near,6
employees,10
greeted,9
left,20
night,6
people,8
check,10
phone,6
manager,24
finally,10
vegas,7
cook,6
item,6
drinks,16
water,6
wait,7
love,8
guys,6
maybe,6
talk,6
cold,7
lunch,6
half,8
girl,10
care,9
couldn,12
waited,10
friend,8
sat,17
horrible,19
husband,8
seat,6
money,8
disappointed,7
business,7
watched,7
time,38
worse,10
worst,13
experience,12
hour,8
sandwich,6
coming,11
patio,7
actually,9
boneless,6
sauce,14
food,48
expect,7
leave,12
guess,6
terrible,6
cups,6
restaurant,11
else,7
hostess,10
bill,10
hooters,67
ready,7
tables,9
location,23
customers,9
wings,63
server,11
eating,7
fries,14
fried,8
called,8
nice,9
walked,14
buffalo,10
sent,6
outside,6
waiting,11
busy,9
customer,26
salad,10
sit,17
front,7
day,6
times,11
waitress,37
management,13
tonight,6
looked,7
chicken,27
staff,8
employee,8
walk,6
table,19
wild,7
waitresses,6
drink,15
didn,16
getting,9
eat,11
minutes,17
