words,count
nwe,9
worth,9
japanese,7
chef,9
nthe,26
ayce,30
told,29
dry,6
brought,8
recommend,15
wrong,8
oysters,10
meat,6
meal,6
forgot,11
ate,16
days,6
cucumber,7
wasn,20
service,95
top,7
seated,19
mins,16
don,52
definitely,6
busy,19
menu,15
rice,35
plate,6
appetizer,6
albacore,6
bar,14
bad,39
decided,14
cajun,6
received,10
refill,6
beef,15
sushi,169
garlic,7
tuna,22
kept,7
left,14
night,25
people,25
ice,6
super,7
dinner,10
soy,7
mediocre,6
check,21
tip,18
roll,30
time,63
manager,26
finally,12
vegas,15
leave,11
round,7
drinks,6
water,14
wait,28
love,14
extra,8
visit,6
live,7
reviews,7
soup,13
spot,10
cold,6
lunch,11
half,17
name,6
didn,34
girl,7
rolls,77
seriously,6
care,11
couldn,12
waiter,16
waited,20
ignored,6
little,7
tell,13
friend,14
boyfriend,7
poisoning,10
tasted,19
sat,11
multiple,6
paid,7
forever,18
average,6
slow,15
seat,8
review,11
comes,8
situation,6
charged,9
money,12
rest,7
server,39
business,8
chefs,13
nmy,7
industry,6
stars,7
oyshi,34
gone,12
taste,11
cream,6
maybe,6
worse,7
sitting,9
worst,20
past,7
hours,7
experience,14
family,6
charge,9
hour,12
sucks,7
okay,8
tried,10
rude,13
coming,22
actually,7
sauce,16
food,107
sucked,6
house,6
fish,23
expect,6
terrible,11
miso,8
feel,8
salmon,7
extremely,9
restaurants,9
won,7
probably,12
sweet,8
empty,6
else,12
understand,7
look,9
hostess,10
frozen,6
bill,12
person,8
tables,15
disappointed,12
customers,7
couple,7
servers,16
called,10
doesn,10
walked,10
cooked,7
fresh,19
dessert,18
entire,11
try,8
poke,7
waiting,12
eating,16
crab,7
pretty,9
started,6
customer,22
salad,11
sit,8
instead,7
twice,8
times,20
waitress,28
quality,19
spicy,6
dishes,11
min,14
able,7
looked,13
bring,13
staff,12
horrible,26
taking,8
table,31
nigiri,14
waste,8
restaurant,42
party,13
drink,9
day,7
teriyaki,8
immediately,7
getting,11
location,6
eat,53
minutes,38
sick,9
star,10
stay,6
friends,7
yelp,9
baked,6
