words,count
worth,7
nthe,9
slices,8
highly,8
recommend,7
excellent,7
pizza,228
las,15
bread,7
service,12
don,9
definitely,8
menu,6
coast,6
east,6
roccos,6
garlic,12
people,8
plus,6
deal,7
pizzas,8
vegas,57
wait,7
love,37
awesome,8
nyc,8
spot,6
guys,9
amazing,13
rock,6
pizzeria,6
pepperoni,9
cheese,18
little,17
white,19
summerlin,7
dough,6
outside,7
seating,6
slice,29
favorite,13
meal,6
taste,8
time,15
crust,22
amount,6
pick,6
family,11
town,14
huge,7
sandwich,8
tried,7
authentic,13
style,22
actually,9
sauce,17
food,23
found,9
delicious,18
knots,12
sandwiches,13
rocco,46
crispy,12
prices,7
real,8
nice,11
fresh,16
friendly,15
dessert,7
try,16
sausage,13
balls,7
salad,7
thin,16
perfect,13
hands,6
special,8
red,7
york,30
times,6
quality,7
chicken,6
staff,9
joint,6
walk,8
italian,20
home,10
eat,13
pie,9
monday,6
