words,count
nwe,6
nthe,25
kids,9
slices,9
excellent,8
times,7
hot,11
pizza,242
las,8
bread,24
meat,9
little,14
free,6
wasn,9
thick,8
service,34
top,6
don,10
definitely,12
enjoyed,7
bad,8
beer,8
east,6
garlic,30
night,6
dinner,10
class,7
marinara,9
check,8
pizzas,19
time,35
yummy,6
vegas,32
eating,8
love,17
visit,7
soup,7
spot,6
guys,8
amazing,14
tropicana,7
lunch,10
half,7
didn,13
salads,8
pepperoni,10
cheese,30
stuffed,11
tasted,11
locations,6
price,8
server,10
served,6
slice,7
favorite,15
lot,9
spicy,6
taste,6
deep,7
tasty,9
dish,8
dressing,12
crust,38
options,7
family,6
town,12
huge,9
tried,9
coming,7
style,13
sauce,28
food,29
delicious,14
house,10
specials,6
knots,21
pretty,12
won,6
meal,10
restaurant,15
prices,6
location,12
wings,8
fries,18
called,6
nice,16
cooked,6
fresh,21
friendly,11
try,14
sausage,12
chicago,7
waiting,6
metro,46
menu,7
salad,25
thin,14
appetizer,6
day,8
strip,9
york,11
quality,11
stars,6
looked,11
chicken,11
staff,10
table,7
decent,9
ingredients,8
italian,17
home,7
pasta,10
toppings,14
delivery,11
eat,22
minutes,10
pie,18
friends,9
