words,count
yellow,13
nwe,12
worth,6
nthe,29
items,7
recommend,6
amazing,11
green,18
avocado,8
combination,7
meat,8
reasonable,6
meal,7
isn,6
wasn,13
service,42
top,6
tom,9
noodle,68
flavorful,6
plenty,6
don,20
soups,6
definitely,28
pineapple,9
enjoyed,10
menu,28
rice,52
appetizer,13
bad,14
decided,9
noodles,40
beef,39
broth,10
papaya,16
condiments,6
night,8
people,7
super,7
dinner,8
curry,57
happy,6
heat,9
portions,12
inside,6
tell,6
time,36
choice,9
vegas,13
level,15
item,8
quick,9
pork,9
water,6
wait,9
usually,13
love,29
extra,7
prefer,7
visit,10
soup,47
sour,12
awesome,9
spot,11
hot,13
lunch,29
fast,8
little,19
vermicelli,7
thai,148
tasted,8
price,12
seafood,9
cheap,9
husband,8
review,10
affordable,6
sauce,23
chinatown,8
pad,45
potstickers,6
noverall,6
flavor,9
server,8
basil,9
found,9
favorite,15
stars,13
spicy,46
spice,15
taste,13
tasty,15
original,13
dish,24
fan,7
tea,7
experience,9
flat,13
town,9
tried,16
coming,7
egg,12
style,29
actually,7
food,89
delicious,34
house,30
fish,11
hard,6
issue,6
added,7
salmon,8
clean,9
pretty,22
restaurants,14
probably,10
restaurant,28
eggplant,6
liked,7
sweet,17
crispy,6
else,7
prices,24
location,21
bit,14
tofu,15
rolls,9
fried,55
doesn,6
nice,26
wonton,9
fresh,7
friendly,21
try,29
makes,6
duck,21
salad,25
shrimp,12
perfect,6
orange,8
day,10
panang,22
special,10
red,12
craving,8
times,13
waitress,7
quality,8
lot,12
loved,7
carrots,6
dishes,30
brought,7
looked,7
chicken,54
staff,8
based,6
overall,10
bean,7
tsnh,9
broccoli,6
generous,6
didn,20
home,10
pepper,9
getting,8
eat,14
minutes,7
star,15
friends,6
yelp,7
portion,7
