words,count
nwe,10
worth,15
enjoy,7
bacon,25
nthe,17
pancakes,74
kids,12
daughter,6
fantastic,6
recommend,13
times,17
hot,12
yum,8
coffee,18
meat,6
potatoes,19
waffle,16
velvet,20
little,22
free,9
wasn,8
service,55
top,6
seated,13
gravy,19
don,9
definitely,23
enjoyed,6
toast,16
menu,30
stop,6
bad,7
steak,8
fluffy,6
decided,7
cup,7
butter,8
people,20
super,14
portions,11
inside,11
marinated,7
time,33
stacks,33
atmosphere,6
yummy,12
choice,6
vegas,12
quick,10
filled,6
french,12
water,6
wait,42
scramble,6
cinnamon,6
usually,11
love,20
skillets,8
visit,12
chocolate,9
awesome,13
sunday,7
spot,13
maybe,7
babystacks,6
amazing,19
lunch,15
didn,21
looking,7
waiter,7
cheese,12
fast,11
friend,7
breakfast,83
sat,9
price,8
corned,7
slow,6
outside,11
pumpkin,7
morning,18
husband,13
attentive,13
griddle,11
flavor,11
server,15
served,7
seating,10
favorite,6
meal,10
skillet,27
lot,8
trying,7
taste,12
tasty,7
hash,15
experience,12
amount,8
options,10
blueberry,15
huge,16
tried,17
coming,11
short,6
egg,9
actually,7
sauce,7
food,117
biscuits,8
delicious,30
house,7
benedict,13
syrup,12
juice,7
eggs,53
clean,6
pretty,28
batter,8
close,9
restaurant,16
crispy,8
cream,6
prices,9
look,6
hostess,7
fun,6
decor,9
arrived,8
stack,12
cut,6
location,7
couple,6
bit,8
added,6
servers,11
fries,14
fried,9
single,8
lemon,20
nice,24
cooked,12
fresh,13
peanut,6
friendly,33
try,38
sausage,13
busy,21
pancake,33
started,6
perfect,6
orange,12
day,19
special,10
red,23
waitress,8
owner,11
perfectly,9
stars,14
loved,8
waffles,6
looked,6
yolks,22
chicken,20
staff,31
combo,7
overall,8
packed,9
table,17
choices,6
drink,6
home,23
beef,11
biscuit,11
own,8
gluten,12
eat,12
minutes,10
friends,6
