words,count
nthe,13
told,25
items,34
credit,7
call,25
recommend,8
paperwork,6
phone,12
times,9
damage,22
office,7
estimate,20
days,19
moving,31
service,12
top,7
distance,6
don,19
bad,6
decided,8
unloading,6
damaged,6
left,9
quoted,12
save,6
boxes,30
people,16
months,7
morning,7
tell,6
drive,7
promised,6
weekend,6
time,40
charge,6
vegas,6
cost,11
box,7
extra,10
scratches,6
reviews,9
claim,9
date,8
guys,18
truck,30
half,8
yourself,6
television,6
price,13
paid,13
professional,7
husband,6
review,16
informed,10
situation,7
april,8
pay,29
check,6
week,7
finish,9
driver,7
running,6
charged,15
money,16
read,6
furniture,22
business,6
broken,16
stars,7
moved,18
mover,8
storage,6
wife,6
original,11
beware,7
paying,6
rate,10
unprofessional,8
hours,11
experience,13
amount,6
pick,6
door,7
company,64
basically,6
broke,12
hour,15
stated,7
accept,6
rude,6
response,7
help,6
late,12
house,11
hard,8
insurance,25
issue,10
please,11
available,6
missing,7
else,7
pack,8
person,6
mirror,11
delivered,8
repair,6
called,19
hourly,6
packing,6
customer,11
belongings,12
move,95
front,6
day,20
doing,7
lot,10
agreed,6
stuff,27
packed,8
job,7
table,7
movers,46
didn,30
home,8
delivery,11
star,11
