words,count
nwe,7
asian,13
dish,23
vegas,10
bulgogi,11
try,24
pork,17
nthe,11
items,8
amount,6
love,15
family,10
highly,8
visit,6
creamy,7
recommend,16
stone,6
excellent,6
baby,7
friendly,17
soup,28
awesome,10
shrimp,10
amazing,19
tried,12
spot,8
coming,17
soon,7
cold,10
chanpon,15
hot,7
sauce,13
food,69
lunch,7
meat,10
didn,6
meal,9
delicious,25
cheese,16
kim,8
owner,13
little,13
service,33
friend,6
chee,8
spicy,50
noodles,10
dishes,29
korean,59
don,9
seafood,39
traditional,7
definitely,29
clean,12
chicken,14
staff,15
menu,17
pretty,7
combo,7
rice,14
kimchi,21
restaurant,30
comes,12
sweet,16
pot,7
beef,11
flavorful,8
decor,8
bowl,7
noodle,7
flavor,6
bibimbap,9
fusion,22
wings,7
server,7
price,6
super,12
ribs,7
favorite,8
nvery,6
tofu,11
mamaoh,12
portions,7
potato,8
fried,10
taste,10
cream,8
portion,7
nice,24
friends,7
time,19
rib,7
kalbi,10
