words,count
sashimi,6
vegas,6
nthe,12
ayce,9
usually,6
love,10
slices,6
names,11
crab,10
salad,7
loca,18
pieces,7
okay,6
lot,6
sauce,20
food,32
lunch,7
didn,6
meal,6
fish,16
special,10
try,10
rolls,52
loud,6
wasn,11
quality,7
little,10
service,23
japanese,6
salmon,9
don,9
average,6
atmosphere,6
menu,18
pretty,14
rice,17
overall,7
scallops,6
bar,11
bad,8
decided,6
probably,6
restaurant,7
beef,8
sushi,99
tuna,6
flavor,6
night,8
soft,7
people,11
table,6
favorite,7
dinner,10
stars,7
spicy,11
inside,6
minutes,8
taste,9
girlfriend,9
roll,25
nice,12
time,18
fresh,11
