words,count
limited,7
nwe,30
hate,7
pride,7
worth,74
jack,30
nfor,7
enjoy,28
bacon,42
chef,14
fabulous,11
nthe,118
cooking,7
near,6
told,17
met,16
mozzarella,8
kids,12
daughter,8
lychee,11
items,15
employees,12
fantastic,56
highly,35
brought,15
guests,7
recommend,67
type,17
glass,7
warm,11
excellent,68
honey,13
times,36
provide,6
sitting,12
amazing,183
disappoint,7
wrong,23
salsa,34
las,31
greek,28
wine,12
satisfied,8
personal,8
avocado,11
expectations,117
blueberry,6
savory,147
weeks,7
combination,20
meat,16
potatoes,10
reasonably,7
filling,23
reasonable,18
whim,6
owner,97
saturday,15
whip,13
network,8
fave,6
free,63
ate,14
days,12
isn,14
soda,9
cucumber,52
loud,6
wasn,25
service,231
spinach,7
top,33
serve,22
seated,16
matter,10
friend,55
feeling,7
modern,9
flavorful,14
mine,11
talking,7
hazelnuts,7
lattes,6
recommended,14
regular,15
mouth,13
don,58
treats,6
dog,14
definitely,127
pineapple,13
enjoyed,25
busy,60
quaint,7
menu,77
sugar,21
plate,12
watch,50
watermelon,14
twice,9
bad,26
steak,19
fluffy,6
lemonade,12
decided,31
lots,16
gentleman,6
pirate,10
omg,8
kitchen,8
suggested,9
cup,14
tasted,20
bathroom,12
quickly,15
beer,18
expected,7
life,7
customers,14
suggest,6
split,17
plates,9
nif,13
greeted,17
delight,26
tuna,6
nit,13
butter,12
left,12
thanks,9
yes,15
ham,8
easy,6
mar,6
unique,12
sliced,8
night,6
people,76
purple,13
phenomenal,13
ice,12
creative,6
super,73
months,9
dinner,12
plus,26
afternoon,10
slightly,6
happy,49
head,8
offer,25
heat,7
portions,16
inside,52
tell,41
trio,37
classic,14
drive,29
tooth,8
check,22
juices,12
weekend,19
nthis,18
time,182
guava,12
yummy,26
finally,15
henderson,15
ntheir,7
choice,15
vegas,115
sonora,65
cool,33
die,13
leave,13
item,6
soooo,7
quick,16
guy,27
pork,8
regret,7
run,12
drinks,23
shared,19
filled,26
water,92
change,6
wait,139
usually,26
love,193
extra,12
prefer,6
flavors,53
positive,6
visit,50
creamy,6
live,25
suggestions,13
cashier,16
chocolate,25
beers,6
car,7
reviews,19
soup,36
heart,6
samplers,6
awesome,85
sample,6
heard,10
buttered,6
sunday,71
flavored,18
spot,43
latte,13
nsweet,6
date,7
guys,10
complimentary,9
crepe,571
remember,7
maybe,12
mango,20
arrived,13
typical,6
cute,24
serving,10
course,13
thank,16
hot,19
offers,6
gem,15
lunch,55
half,16
name,15
didn,45
apples,8
morning,66
space,7
looking,24
seriously,8
earlier,6
walnuts,18
care,9
couldn,30
selections,6
waiter,6
star,12
waited,10
cheese,122
yourself,14
fast,10
size,19
little,109
checked,7
bite,13
stuffed,11
white,37
homemade,19
boyfriend,10
wide,11
ana,32
tastes,7
breakfast,187
sat,11
dining,16
interior,11
price,16
especially,24
hungry,14
sodas,14
salt,7
shop,8
walking,6
nthey,17
outside,51
texture,6
truly,14
husband,42
station,13
seat,17
dives,8
review,18
whipped,46
screen,15
diners,7
berry,37
comes,13
polo,18
considering,8
olives,6
elvis,18
attentive,21
pesto,12
sauce,17
accommodating,10
squeezed,13
rosarito,34
chat,6
coffee,55
candied,9
bowl,6
trip,23
week,15
finish,8
fruit,50
favorites,17
chorizo,33
totally,19
burrito,10
hubby,9
outdoor,21
rest,8
touch,12
flavor,32
sampler,57
extensive,6
read,8
dark,8
mom,19
world,11
disappointed,30
served,13
nice,122
seating,51
mood,10
noon,7
nutty,11
turkey,10
welcome,10
business,19
intimate,6
nmy,21
cozy,16
fillings,7
favorite,77
meal,44
mixed,8
strip,46
aren,8
desert,8
start,12
lot,27
lou,37
exceptional,9
cottage,12
trying,21
spice,8
rush,8
strawberry,22
taste,30
describe,7
moved,6
tasty,37
girlfriend,6
cream,61
offered,11
includes,6
decorated,11
wife,40
asada,38
blueberries,17
foster,38
dressing,7
smile,7
returning,7
fan,20
decide,6
list,18
tea,6
past,6
pass,7
opted,13
deliciousness,7
hours,13
personable,8
experience,48
amount,13
pick,11
options,23
guacamole,33
family,38
takes,16
pears,20
door,21
company,8
glad,18
town,40
hour,6
mall,12
del,6
def,8
beautiful,10
share,15
huge,32
goat,31
tried,65
blood,36
coming,32
short,14
crowded,14
register,16
egg,27
patio,20
help,11
soon,25
style,8
actually,18
late,10
minute,8
wouldn,13
return,19
food,333
easily,6
stopped,13
found,40
heavy,6
delicious,224
house,15
hard,34
idea,7
expect,15
beyond,11
specials,10
alcohol,6
jolla,14
pleasant,9
owners,48
guac,16
feel,34
talked,8
miss,10
guess,7
wonderful,41
banana,47
option,13
believe,19
outstanding,11
juice,21
