words,count
limited,8
monte,8
nwe,42
asian,7
worth,38
lack,6
jack,7
enjoy,19
bacon,103
chef,13
messy,12
nthe,104
told,28
meh,16
met,8
dry,27
kids,7
items,20
employees,8
smoke,7
fantastic,8
slices,6
highly,6
brought,18
music,19
recommend,20
type,14
tell,8
award,6
glass,13
warm,13
excellent,23
bartender,25
amazing,45
pepperoni,19
mess,6
wrong,18
fat,11
types,7
las,14
greek,8
tatted,6
kick,6
mayor,6
expectations,20
bread,7
meat,30
potatoes,8
crunchy,8
filling,7
waffle,15
tip,7
forgot,6
ring,10
network,17
greasy,9
ate,22
isn,12
soda,6
loud,23
lettuce,14
wasn,72
thick,12
service,165
top,23
girls,6
serve,8
seated,41
donkey,11
mind,9
ginger,8
talking,6
seen,10
mins,8
blue,15
gravy,16
regular,8
mouth,8
plenty,16
nachos,67
don,76
definitely,46
saying,8
overpriced,16
waitstaff,6
enjoyed,25
toast,14
busy,34
sugar,11
celery,6
rich,6
plate,20
stop,19
bar,87
dipping,14
pretzel,25
twice,9
bad,51
steak,16
decided,26
yes,6
lots,9
rings,9
chili,37
cajun,14
kitchen,25
received,8
massive,6
beef,17
quickly,11
beer,29
expected,29
fry,7
nguy,7
tastes,6
customers,6
split,16
plates,11
fairly,7
nif,6
greeted,9
butter,10
kept,8
burgers,84
left,10
unique,8
apart,6
night,50
deal,7
people,50
ice,17
super,29
dinner,22
lacked,7
slightly,8
son,7
wrap,7
medium,10
heat,11
portions,33
inside,23
whiskey,8
sticks,9
hungry,12
trip,14
weekend,8
nthis,7
time,128
manager,15
yummy,6
finally,31
brown,8
string,6
vegas,128
cook,7
minute,21
cool,30
impressive,6
level,6
leave,11
item,8
quick,13
guy,184
dip,12
pork,47
seasoning,12
cost,10
drinks,54
goes,7
shared,16
filled,6
french,13
water,25
wait,114
love,46
bloody,34
flavors,23
visit,31
live,10
entrance,9
chocolate,20
beers,12
reviews,10
bites,7
ribs,13
crazy,8
awesome,25
heard,7
watching,11
write,6
sunday,6
plus,10
staying,8
cocktail,11
annoyed,6
spot,12
mac,136
guys,18
maybe,32
ones,7
nour,9
fireball,18
pulled,40
typical,7
serving,11
cold,26
appetizers,12
main,6
lunch,27
half,27
ketchup,8
nor,6
name,35
didn,95
rock,7
looking,29
care,20
couldn,11
waiter,49
gordon,10
waited,31
cheese,181
yourself,7
fast,11
sounds,7
size,13
little,72
checked,8
fieri,78
bite,25
draft,6
stuffed,6
white,8
friend,28
quad,13
boyfriend,16
unfortunately,23
happy,10
tasted,37
slaw,7
breakfast,57
sat,41
note,7
normal,9
cheesecake,15
price,35
overcooked,7
paid,6
forever,7
especially,14
average,39
drive,8
salt,7
rating,9
walking,6
shot,8
sashimi,14
shoe,6
slow,35
cheeseburger,9
nall,8
morning,11
husband,35
seat,6
dives,8
review,16
diners,9
disappointment,9
comes,17
considering,6
breath,7
mary,32
offered,9
attentive,19
paying,9
coffee,10
middle,6
etc,8
