words,count
nwe,7
suicide,7
worth,7
vegas,10
fan,8
try,15
sausage,11
crust,29
wait,8
experience,6
amount,7
love,7
visit,11
recommend,8
friendly,10
awesome,11
huge,8
hot,10
pizza,120
sandwich,6
perfect,8
style,6
food,25
half,12
didn,18
hard,6
paradise,8
reason,7
pepperoni,9
waitress,7
cheese,25
delicious,11
thick,9
quality,6
city,10
little,16
sheet,10
service,21
white,6
stars,12
loved,7
nthe,17
don,11
definitely,7
selection,8
chicken,6
staff,7
pretty,7
poutine,9
naked,9
decided,6
guinea,16
probably,9
restaurant,8
beer,17
sauce,20
hand,6
garlic,17
flavor,6
tables,7
wee,8
location,20
bit,14
wings,20
server,12
people,7
table,6
home,9
super,12
getting,6
dinner,6
toppings,11
spicy,10
eat,7
fries,27
pie,19
ingredients,6
nice,14
pizzas,11
time,26
fresh,7
buffalo,8
