words,count
clothes,8
enjoy,6
street,9
nthe,22
kids,6
recommend,9
excellent,6
worth,6
times,7
macys,12
amazing,10
pizza,7
las,23
tourist,6
free,14
shopper,7
shopped,7
service,15
top,10
urban,6
fashion,89
plenty,15
don,34
layout,11
lots,18
tons,7
near,6
nif,8
nit,9
people,20
easy,17
confusing,8
super,9
call,6
happy,8
offer,7
inside,9
zara,6
sale,6
floor,14
models,8
nthis,12
time,38
cheap,6
vegas,85
cool,12
level,16
neiman,17
quick,6
dillards,9
usually,9
love,49
visit,17
live,9
saks,22
car,6
awesome,15
plus,7
staying,6
remember,8
typical,9
shoes,8
thank,9
name,7
didn,12
looking,19
little,17
forever,34
especially,10
shop,49
walking,16
wynn,11
nthey,11
fifth,7
ground,8
black,6
parking,37
review,6
outside,12
affordable,6
color,6
shopping,57
shops,31
middle,9
check,9
nice,28
favorite,31
strip,50
lol,12
lot,22
expect,6
sales,8
topshop,18
building,7
heaven,6
louis,12
tea,16
abc,9
experience,10
pick,6
options,9
stick,6
town,7
mall,328
huge,28
court,35
crowded,7
avenue,8
nordstrom,26
actually,13
food,52
marcus,16
found,8
hard,10
major,9
feel,8
guess,7
store,70
park,10
macy,25
clean,15
stores,170
pretty,33
money,14
restaurants,32
close,7
definitely,16
won,7
available,7
throughout,7
secret,6
prices,6
look,8
fun,8
levels,9
try,6
spend,6
location,16
bit,10
department,18
friendly,9
valet,10
california,7
makes,6
apple,9
customer,7
clothing,7
located,11
stop,14
nordstroms,10
including,8
choose,9
day,17
retail,6
tourists,13
stars,6
loved,12
able,7
mix,9
selection,19
boutiques,6
staff,6
local,7
probably,9
stuff,6
grab,6
nthere,13
bloomingdales,8
etc,12
walk,25
spacious,7
runway,15
malls,24
underground,7
center,6
variety,11
helpful,8
lost,6
home,8
vuitton,12
getting,9
buy,14
eat,10
else,10
