words,count
nwe,12
worth,9
bacon,9
nthe,17
enchiladas,20
forum,23
items,9
fantastic,6
highly,6
brought,10
recommend,15
excellent,9
hot,9
yum,7
salsa,32
green,14
oysters,6
avocado,6
meat,7
waffle,6
little,23
free,22
ate,7
service,54
top,10
flavorful,10
regular,6
don,13
definitely,22
enjoyed,16
menu,20
rice,22
plate,15
bar,12
bay,14
bad,6
grilled,6
steak,16
decided,9
quickly,8
chile,10
plates,14
easy,7
unique,6
night,9
people,6
jennifer,8
plantain,6
corn,14
super,9
dinner,19
happy,18
offer,7
trio,7
tamale,6
potato,11
time,31
manager,7
yummy,6
tacos,41
vegas,26
margarita,22
tortillas,10
quick,6
pork,11
eating,6
drinks,11
wait,7
love,9
flavors,6
creamy,7
ceviche,33
awesome,8
remember,6
amazing,10
lunch,23
half,7
relleno,9
didn,17
cheese,9
size,6
price,7
tortilla,6
attentive,8
shops,21
totally,6
flavor,11
disappointed,7
server,10
served,7
nice,19
tots,7
favorite,10
shrimp,26
strip,9
mandalay,16
start,8
stars,7
spicy,8
churro,6
tasty,20
fresh,26
dish,19
asada,8
jalape,7
burger,9
experience,12
guacamole,17
basically,7
glad,9
grill,42
hour,16
quesadilla,9
tried,9
coming,7
choice,8
short,8
egg,12
patio,6
mexican,32
caesars,11
actually,6
sauce,16
food,73
found,8
delicious,19
house,7
fish,20
guac,11
brisket,6
wonderful,8
check,11
caesar,8
added,6
carne,6
pretty,25
tamales,7
crema,6
probably,8
meal,23
restaurant,22
sweet,17
crispy,10
prices,7
mimosas,8
fun,8
rib,9
infused,6
blanco,6
roasted,11
location,25
queso,12
unlimited,9
bit,18
beans,13
homemade,8
fries,7
fried,8
friendly,7
try,33
sangria,7
nservice,6
lime,8
started,8
salad,7
located,8
instead,6
taco,13
orange,7
empanadas,6
day,11
grits,12
red,10
pudding,7
margaritas,14
waitress,6
quality,10
lot,8
loved,12
border,47
dishes,18
atmosphere,7
chicken,29
staff,6
overall,10
chips,39
table,10
decent,11
salsas,9
brunch,28
party,8
poblano,7
drink,7
ingredients,6
home,6
eat,22
carpaccio,7
friends,9
yelp,14
portion,9
