words,count
nwe,24
worth,16
nfor,7
enjoy,8
bacon,8
nthe,27
told,8
dry,8
daughter,7
fantastic,9
brought,9
recommend,11
glass,12
excellent,26
absolute,6
amazing,48
disappoint,6
las,9
wine,54
bread,7
meat,9
potatoes,26
little,28
ate,7
service,87
spinach,12
top,27
brulee,6
seated,9
mouth,10
don,21
definitely,30
fleming,57
enjoyed,13
busy,6
menu,19
bar,46
steak,65
rings,7
received,6
tasted,6
beef,8
mushroom,7
weren,7
butter,10
burgers,6
left,14
gift,19
night,20
people,14
super,7
dinner,48
medium,11
offer,9
truffles,8
time,42
manager,13
yummy,8
flemmings,6
choice,8
vegas,17
die,8
steaks,14
drinks,16
celebrated,6
french,8
water,6
wait,10
box,10
usually,7
love,30
visit,15
chocolate,14
awesome,14
heard,7
sunday,6
cocktail,6
mac,8
birthday,25
remember,8
maybe,10
nour,6
thank,7
appetizers,11
main,6
half,7
name,9
didn,17
looking,11
card,24
cheese,21
mignon,17
white,8
boyfriend,15
happy,54
sat,7
dining,17
price,11
professional,6
calamari,10
prime,45
husband,12
seat,6
cocktails,7
review,7
comes,6
ravioli,9
attentive,11
lava,16
week,6
bottle,13
flavor,9
server,38
served,16
lobster,20
nmy,7
favorite,21
shrimp,15
strip,13
lot,7
tasty,9
cream,14
wife,9
dish,7
tail,6
list,11
steakhouse,13
past,8
burger,29
jackie,9
experience,34
family,11
eye,6
door,7
hour,47
huge,6
menus,7
tried,8
petite,9
coming,12
soon,6
actually,9
sauce,22
evening,9
food,85
occasions,8
delicious,39
house,8
beyond,7
event,6
feel,13
fancy,6
wonderful,20
extremely,7
notch,8
pretty,12
money,6
restaurants,13
tender,6
wow,7
probably,7
meal,30
restaurant,23
cakes,7
sweet,14
expensive,6
prices,6
hostess,11
fun,6
rib,38
moment,8
arrived,7
cut,15
location,21
marco,6
couple,7
bit,12
absolutely,8
sauces,8
complimentary,8
servers,16
fast,6
forward,6
filet,36
fries,8
nice,44
mustard,6
reservation,9
cooked,28
fresh,6
friendly,15
dessert,21
try,21
valet,6
eating,7
opinion,6
crab,15
started,9
rare,13
customer,10
salad,24
plate,7
sit,6
martini,8
perfect,24
day,12
ambiance,6
special,30
red,8
wines,10
times,9
quality,11
perfectly,22
stars,10
haven,6
tonight,6
able,7
atmosphere,7
bring,6
staff,26
creamed,8
creme,7
exceptional,6
perfection,13
course,15
amex,7
job,7
etc,6
table,20
taste,16
choices,10
drink,14
five,6
flemings,50
onion,10
pepper,6
mushrooms,12
anniversary,17
friends,12
eat,21
carpaccio,11
cake,24
piece,6
minutes,10
reservations,10
