words,count
chinese,16
nwe,7
dish,8
milk,21
stinky,10
deli,8
vegas,14
try,19
pork,22
nthe,15
mei,6
pancake,19
wait,8
items,12
soybean,10
dumplings,13
soup,25
salted,6
salty,7
hot,9
okay,6
authentic,13
green,9
cold,6
sauce,7
food,44
day,7
didn,11
hard,9
little,14
delicious,9
wasn,7
service,22
stars,6
spicy,14
breakfast,32
price,6
oyster,6
don,13
egg,7
menu,22
pretty,19
rice,25
bean,7
bad,7
bao,10
available,6
taiwanese,35
noodles,12
taiwan,8
restaurant,10
table,6
speak,6
beef,34
prices,9
xiao,6
noodle,21
flavor,9
bit,7
onion,9
served,9
minced,6
people,7
tofu,12
soy,13
fried,10
tasty,7
roll,11
nice,11
time,16
