words,count
nwe,6
worth,6
nthe,12
items,13
brought,6
recommend,12
excellent,14
hot,8
las,15
reasonable,10
gow,7
wasn,7
service,50
top,8
serve,7
seated,18
regular,6
plenty,6
don,17
definitely,21
busy,12
menu,12
rice,12
bad,9
noodles,6
amazing,9
speak,7
quickly,6
dumplings,10
har,7
people,17
orchid,7
carts,36
super,6
happy,7
nthis,8
time,27
vegas,48
dim,185
quick,6
pork,18
dimsum,12
wait,18
usually,8
love,24
awesome,9
spot,6
mai,13
whenever,8
buns,12
lunch,10
seriously,6
cart,8
fast,12
little,9
friend,6
shrimp,26
price,11
orchids,14
parking,9
check,7
steamed,9
sticky,6
serves,6
nice,10
favorite,16
stars,9
tasty,10
chinese,37
dish,7
dumpling,6
fan,6
tea,8
sum,180
experience,11
family,8
town,6
huge,10
tried,6
coming,16
authentic,12
egg,9
late,6
food,65
found,8
delicious,20
feet,8
pretty,17
restaurants,8
restaurant,35
sweet,7
prices,10
sesame,8
servers,10
fried,6
fresh,18
friendly,13
garden,13
try,19
eating,7
chang,6
balls,10
sit,6
instead,6
shumai,6
day,26
variety,12
times,12
quality,7
lot,7
dishes,18
selection,9
bring,6
chicken,13
staff,8
packed,7
table,9
english,9
five,6
immediately,6
home,7
bun,6
eat,7
minutes,8
star,6
