words,count
nwe,20
worth,15
nfor,8
nwine,6
enjoy,30
bacon,7
chef,14
fabulous,12
nthe,46
told,12
fantastic,21
highly,12
guests,6
music,25
recommend,13
glass,21
warm,17
excellent,40
times,16
frites,15
hot,7
shores,11
wrong,6
las,50
croissant,13
wine,237
executed,6
hidden,13
braised,12
bread,51
meat,11
potatoes,10
reasonable,12
saturday,6
free,14
ate,6
days,9
delicious,71
service,83
top,16
john,7
brulee,11
seated,16
recommended,11
mashed,6
mouth,8
don,31
definitely,37
enjoyed,20
finally,6
menu,50
plate,17
appetizer,14
steak,32
decided,8
kitchen,10
planned,6
beef,18
lovely,15
relaxing,12
near,8
melted,7
bottles,14
garlic,8
nit,10
butter,12
kept,8
smoked,6
left,9
able,11
yes,17
terrific,7
unique,7
brought,12
night,27
people,13
phenomenal,6
dinner,76
dined,8
plus,6
happy,12
offer,7
inside,19
check,7
setting,12
nthis,16
time,70
manager,8
father,7
charge,6
indoor,6
choice,8
vegas,86
cool,7
leave,7
pork,10
eaten,7
mussels,13
french,62
water,30
wait,20
usually,9
entrees,10
love,45
extra,7
visit,15
live,29
chocolate,10
reviews,11
soup,20
ribs,6
awesome,29
heard,7
exceptional,6
sunday,7
spot,20
birthday,17
date,22
remember,7
maybe,6
thank,9
amazing,53
swans,15
lunch,50
half,8
bacchus,66
didn,14
looking,14
chose,6
couldn,10
selections,6
waiter,27
yum,9
cheese,43
city,7
little,39
bite,8
white,10
friend,12
boyfriend,8
sat,11
dining,38
price,16
summerlin,12
especially,12
drive,10
sunset,7
professional,10
shop,43
nthey,10
outside,44
black,9
gem,19
husband,16
diners,6
quiet,6
tastings,6
ravioli,7
attentive,17
turtles,6
middle,6
week,10
favorites,6
bottle,51
hubby,10
noverall,6
outdoor,25
flavor,13
world,6
server,24
served,21
rich,9
seating,24
lobster,27
nmy,8
corkage,13
favorite,31
meal,46
strip,49
lol,6
stars,6
romantic,37
taste,13
tasty,12
cream,6
wife,8
platter,10
dish,18
dressing,7
enjoying,6
sitting,13
fan,7
neighborhood,7
past,6
burger,8
cheeses,6
anniversary,8
yummy,7
experience,39
amount,6
pick,15
real,7
options,7
family,8
gorgeous,9
company,8
glad,6
town,13
beautiful,44
goat,11
sandwich,12
tried,6
coming,15
short,9
playing,7
patio,49
soon,15
sauce,32
evening,28
return,15
food,146
found,9
house,14
fish,7
hard,10
bistro,7
owners,7
charcuterie,8
dine,12
feel,29
wonderful,37
store,35
croque,6
picked,6
outstanding,13
added,8
eggs,10
salmon,19
extremely,7
fine,12
pretty,17
breast,6
restaurants,26
set,7
tender,16
close,8
wow,11
please,8
won,8
probably,10
champagne,8
restaurant,88
sweet,15
crispy,9
flavorful,10
prices,25
marche,41
look,9
hostess,12
fun,8
seen,6
cuisine,8
moment,7
arrived,7
edge,6
roasted,8
tables,6
disappointed,8
location,13
march,13
couple,9
bit,13
helpful,6
absolutely,15
escargot,20
lakes,7
nso,6
impressed,7
filet,8
fries,14
called,6
doesn,10
nice,63
reservation,9
desert,21
ago,8
overlooking,19
walked,6
cooked,17
fresh,15
ambience,8
friendly,22
dessert,32
try,23
cozy,6
busy,6
makes,13
duck,18
fee,20
crab,8
started,12
rare,7
salad,41
sit,16
located,9
instead,8
establishment,6
entree,13
tomato,7
light,6
perfect,54
choose,13
covered,7
front,7
day,30
ambiance,31
special,19
red,10
wines,29
completely,6
pudding,28
perfectly,19
lot,6
loved,16
comfortable,6
dishes,15
looked,6
atmosphere,37
selection,56
bring,11
chicken,14
staff,27
creme,11
overall,8
course,13
gras,7
view,48
superb,11
marty,7
walk,17
table,52
treat,6
brunch,23
main,7
lakeside,18
bucks,6
party,9
tomatoes,6
drink,14
variety,8
lake,89
five,6
onion,19
soft,7
home,14
pasta,8
own,7
tenderloin,6
mushrooms,8
foie,7
buy,10
eat,9
cake,14
minutes,11
incredible,12
star,9
chance,6
else,9
friends,12
