words,count
nwe,8
worth,9
solid,6
enjoy,10
nthe,30
mozzarella,12
kids,9
fantastic,6
slices,16
recommend,9
excellent,10
hot,7
pizza,348
las,7
wine,14
oven,13
personal,13
crunchy,6
free,8
ate,9
isn,6
bite,6
wasn,13
service,46
top,8
recommended,6
don,36
menu,11
twice,7
bad,12
lots,7
quickly,6
beer,6
mushroom,8
garlic,11
nit,11
kept,6
left,6
grimaldi,43
night,16
people,15
topping,14
dinner,12
happy,6
inside,12
pizzas,21
time,45
yummy,7
vegas,20
drinks,11
water,7
wait,12
box,6
love,47
extra,7
visit,11
awesome,11
nyc,6
spot,6
birthday,8
cold,6
amazing,11
lunch,11
half,15
didn,20
salads,12
looking,9
pepperoni,35
cheese,39
size,10
little,26
white,18
tasted,7
cheesecake,10
price,11
especially,7
husband,8
parking,9
outside,10
comes,6
ranch,8
flavor,12
disappointed,9
server,21
slice,8
favorite,16
strip,7
lot,14
taste,17
tasty,14
offered,6
original,6
attentive,8
dressing,12
fan,13
list,8
crust,60
experience,7
pick,6
family,9
town,8
mall,6
share,8
tried,12
coming,6
coal,7
patio,6
dough,11
style,19
actually,8
pesto,9
cool,6
sauce,36
food,37
delicious,35
house,9
thick,8
calzone,8
reason,6
caesar,6
brooklyn,11
pretty,28
close,7
matter,6
probably,11
restaurant,20
liked,7
simple,7
sweet,7
crispy,14
expensive,11
pricey,7
prices,10
hooters,7
decor,7
roasted,6
location,18
bit,18
eating,9
doesn,6
ingredients,11
rainbow,6
definitely,18
nice,35
fresh,35
friendly,25
grimaldis,9
try,24
sausage,28
sangria,8
busy,11
salad,48
thin,37
tomato,6
light,8
perfect,10
ricotta,14
bar,17
day,10
red,18
york,19
times,12
waitress,15
quality,15
start,6
perfectly,9
stars,12
loved,6
atmosphere,14
chicken,7
staff,15
overall,8
joint,6
course,7
meatballs,7
table,18
tomatoes,6
drink,6
italian,9
home,11
getting,6
toppings,30
own,6
mushrooms,19
basil,25
eat,23
wish,8
minutes,14
pie,20
star,6
else,8
friends,17
