words,count
nwe,23
swan,13
worth,6
bill,7
chef,18
nthe,39
meals,6
told,15
dry,15
fantastic,7
recommend,7
type,8
glass,18
warm,7
excellent,10
bartender,9
amazing,14
wrong,7
las,10
wine,154
bread,27
potatoes,8
meal,36
bone,8
little,23
ate,9
arrived,11
delicious,11
wasn,31
service,63
top,15
seated,16
ginger,6
don,23
definitely,13
saying,6
enjoyed,11
menu,73
plate,14
appetizer,7
bar,26
nicely,6
bay,11
bad,21
grilled,6
steak,22
decided,17
kitchen,9
com,10
pre,6
beef,9
weren,6
charlie,15
left,19
brought,11
night,34
deal,8
people,15
carte,9
dinner,32
happy,16
sorbet,8
average,15
picture,9
time,39
basically,6
manager,8
finally,18
vegas,28
cool,13
impressive,9
standards,6
guy,6
pork,18
drinks,13
french,8
water,8
wait,10
entrees,8
love,10
visit,10
angels,10
chocolate,11
reviews,8
soup,17
birthday,7
remember,11
maybe,18
course,31
cold,15
appetizers,14
half,6
nor,7
rock,6
tried,6
looking,11
octopus,14
care,7
couldn,13
waiter,45
waited,11
cheese,23
checked,6
white,7
friend,10
tasted,9
angel,8
medium,8
pastry,7
sat,12
dining,38
price,15
seafood,7
slow,6
husband,12
cocktails,9
review,8
outside,9
disappointment,6
actually,7
tasteless,8
offered,12
sauce,16
pay,10
flavor,20
spectacular,6
server,28
served,20
tower,30
nice,21
lobster,8
business,6
nmy,6
chop,13
mandalay,12
desert,6
start,10
stars,8
house,6
trying,10
taste,8
platter,6
dish,25
returned,6
sitting,6
list,28
crust,7
scallops,8
experience,34
options,9
eye,9
hour,14
beautiful,6
salty,6
huge,8
court,7
menus,15
okay,14
short,7
overcooked,6
help,8
dine,6
wouldn,7
evening,8
return,7
food,95
courses,11
found,7
fish,14
hard,11
expect,9
reason,6
feel,13
bland,9
supposed,7
check,10
bottle,12
salmon,8
fine,17
pretty,22
restaurants,16
won,10
probably,12
attention,6
restaurant,72
barely,8
liked,10
scallop,13
crispy,6
expensive,11
duo,7
empty,6
look,6
hostess,8
leave,6
disappointing,15
rib,10
decor,9
sliders,7
weird,6
person,7
tablet,9
disappointed,13
couple,8
bit,15
onion,11
absolutely,6
palmer,14
eaten,6
servers,8
tasting,29
filet,8
reservation,15
walked,9
cooked,21
fresh,9
desserts,6
send,6
sent,8
dessert,36
asparagus,8
try,14
chose,6
duck,9
crab,9
started,8
salad,15
pieces,11
lamb,13
entree,10
lounge,8
mention,6
day,14
glasses,9
ambiance,6
special,17
wines,6
completely,7
times,7
quality,10
lot,9
loved,8
dishes,8
request,8
looked,14
selection,7
bring,8
staff,11
based,6
overall,10
gras,9
view,6
aureole,36
etc,6
table,41
decent,8
seasoned,6
main,23
choices,9
party,11
drink,13
seats,6
didn,38
foie,10
friends,9
eat,14
piece,7
minutes,21
star,16
chance,6
else,17
yelp,6
