words,count
nwe,6
friendly,8
vegas,8
salad,9
try,14
enjoy,6
chef,8
drinks,13
cozy,8
wait,6
experience,8
love,15
sarah,10
recommend,6
downtown,9
glass,6
beers,13
excellent,6
bartender,6
tap,6
awesome,14
amazing,28
sandwich,13
spot,12
wine,34
cute,6
brie,8
perfect,7
hot,9
fig,6
food,31
day,7
bread,6
meat,8
didn,8
container,27
cheese,40
delicious,14
little,8
service,19
bite,6
wonderful,8
park,26
mini,13
sandwiches,14
don,8
definitely,17
patio,7
atmosphere,7
selection,11
staff,18
menu,8
plate,10
bar,18
grilled,16
turkey,12
beer,18
board,6
craft,8
fun,9
drink,11
bin,21
people,6
lobster,10
favorite,8
inside,7
nice,12
friends,6
time,15
platter,7
