words,count
nwe,11
hanging,7
worth,20
confetti,10
tickets,31
venue,25
wednesday,7
enjoy,22
nthe,50
lights,46
told,7
met,12
highly,8
brought,6
music,81
recommend,14
tell,18
excellent,6
bartender,8
setup,7
vodka,7
hot,7
hop,11
lot,20
las,22
third,6
enter,8
production,6
nightclubs,8
mean,7
saturday,12
nif,12
little,17
free,65
isn,10
moving,7
notch,6
hook,7
spinning,6
floors,13
wasn,14
service,79
top,30
girls,43
ceiling,32
mind,10
bouncer,7
seen,19
sound,24
plenty,14
don,45
definitely,62
entertaining,9
enjoyed,6
layout,17
watch,14
gogo,6
bar,41
bay,15
bad,13
pfeiffer,12
lots,7
bachelorette,6
bathroom,8
quickly,10
life,10
ceilings,7
played,8
memorial,6
bottles,10
perform,7
couple,7
hang,6
kept,14
contact,8
left,9
thanks,10
yes,10
easy,9
unique,7
shoulder,9
performing,6
night,140
security,22
sebastian,8
crowd,28
people,69
clubs,61
super,14
plus,10
deal,7
class,6
call,8
happy,6
entertainers,8
inside,26
check,24
floor,119
tip,6
weekend,40
nthis,6
time,116
lineup,8
dance,122
vegas,177
blast,13
minute,7
cool,23
level,21
quick,6
guy,11
drinks,51
goes,6
filled,9
change,8
wait,46
usually,15
love,43
live,12
entrance,17
club,310
visual,8
crazy,16
awesome,55
heard,6
soleil,52
till,6
alesso,8
spot,14
birthday,6
guys,39
talk,6
clubbing,7
midnight,11
course,12
djs,14
thank,12
amazing,80
main,23
half,6
name,11
didn,28
hakkasan,19
girl,18
space,21
looking,20
seriously,9
care,18
waited,7
yourself,11
city,6
stuck,6
friend,19
pre,8
price,11
especially,8
sale,6
walking,10
truly,6
azn,6
baauer,7
review,9
outside,9
screen,12
restroom,7
comes,7
pole,6
bathrooms,6
heels,8
pay,12
trip,15
bottle,45
effects,7
noverall,6
dancers,47
nas,8
dancefloor,10
favorite,42
stand,9
ladies,23
strip,15
mandalay,19
lol,15
stars,6
moved,6
pool,9
bouncers,10
fan,10
list,35
past,16
promoter,32
hours,9
strong,7
experience,66
amount,7
screens,36
vip,49
zedd,13
door,9
town,10
hour,7
beautiful,13
huge,37
rude,6
lighting,13
coming,14
short,8
crowded,18
playing,9
soon,8
lasers,6
style,6
actually,11
walls,10
found,16
upstairs,7
house,10
energy,8
hard,11
expect,14
bass,7
friday,12
reason,7
feel,14
cirque,75
guest,32
believe,8
stairs,8
performers,53
acrobats,9
dancing,27
plan,6
extremely,6
performances,6
cover,10
clean,7
pretty,29
hip,12
bars,6
set,20
close,9
wow,9
won,7
probably,16
throughout,13
expensive,14
else,10
prices,12
look,10
fun,39
guestlist,7
ready,7
moment,6
levels,7
arrived,9
entry,10
world,10
tables,26
admission,11
location,6
bit,6
marquee,15
partying,6
absolutely,11
epic,6
run,6
costumes,10
nyou,8
visit,7
line,66
nice,32
walked,10
edm,45
friendly,23
entire,21
visuals,9
booth,7
access,7
waiting,9
poles,7
led,18
casino,8
makes,9
krewella,10
customer,9
halloween,7
hit,11
sit,10
vibe,6
brian,26
stop,7
light,199
lines,21
move,7
perfect,13
hands,11
front,24
day,15
trak,6
experienced,7
doing,11
special,7
entertainment,8
completely,7
times,29
scene,8
start,9
system,20
loved,25
able,15
mix,8
unless,8
atmosphere,10
staff,29
hope,6
overall,13
stuff,7
view,24
packed,20
job,7
etc,6
wall,16
walk,10
table,70
addition,6
unlike,7
party,46
promoters,6
drink,49
nicky,7
drunk,6
add,7
checking,7
literally,10
ingrosso,10
host,29
stage,41
getting,17
nightclub,34
own,9
nlight,6
minutes,18
compared,9
incredible,6
dressed,7
kinda,6
friends,30
yelp,6
