words,count
nwe,10
worth,14
nthe,17
dry,20
items,9
employees,6
tell,8
honey,6
times,7
amazing,33
las,8
yourself,6
hooked,6
associate,6
little,23
free,14
wash,6
service,22
girls,8
shower,14
feeling,11
mini,7
recommended,6
don,24
definitely,18
bomb,18
stop,8
bar,38
bay,26
testing,7
lotion,16
lovely,10
relaxing,7
leaves,8
conditioner,8
hand,14
easy,6
gift,8
people,7
super,19
bath,82
happy,22
offer,7
handmade,7
smell,25
time,25
skin,65
vegan,11
vegas,38
cool,6
leave,10
goes,6
staff,41
moisturizer,10
wait,7
massage,21
love,85
awesome,21
sample,12
natural,18
didn,8
girl,7
looking,8
especially,7
salt,10
shop,13
bombs,31
husband,7
tub,9
shopping,8
attentive,7
shops,8
check,9
money,6
samples,17
pushy,6
favorite,18
ladies,6
mandalay,34
bubble,19
buying,6
sales,7
cream,12
mask,18
fan,6
experience,8
pick,6
huge,9
tried,15
help,12
actually,8
feet,13
found,6
hard,9
lotions,9
feel,16
soaps,8
wonderful,8
store,61
hotel,9
believe,10
sell,7
lip,7
clean,7
pretty,10
knowledgeable,11
feels,6
perfume,6
bars,22
sweet,9
expensive,7
scented,9
pricey,9
look,7
solid,6
fun,23
helped,7
makes,10
person,6
facial,10
using,16
location,30
excited,6
couple,7
bit,13
smells,28
nice,19
scrub,18
walked,12
fresh,14
melts,7
friendly,31
try,39
body,25
larger,6
products,138
customer,14
balls,11
masks,7
light,6
knowledgable,6
perfect,6
hands,10
product,29
organic,11
quality,8
lot,9
loved,9
shampoo,14
soap,17
stuff,19
bought,19
lush,124
ingredients,12
scent,6
day,21
helpful,25
soft,24
hair,23
home,11
getting,9
buy,20
