words,count
nwe,25
sleep,29
asian,10
paris,9
sorry,12
worth,23
updated,10
risk,8
tickets,9
disturb,6
casinos,10
clothes,8
enjoy,9
tired,17
street,12
nthe,52
machines,16
near,7
lights,9
told,136
kids,6
luggage,11
items,6
employees,17
changed,16
credit,29
crap,6
smoke,17
york,7
nwhen,10
explained,9
brought,9
guests,33
total,28
spoke,10
call,48
recommend,23
tell,38
phone,30
hole,6
hold,19
outdated,14
player,7
harrahs,90
times,41
absolute,11
machine,12
amazing,8
gamble,12
pizza,6
mess,6
wrong,13
las,43
third,9
office,12
personal,6
fix,18
coffee,23
safe,9
break,8
bank,7
forgot,8
god,6
motel,12
newly,11
little,26
free,33
management,34
days,31
isn,14
loud,17
floors,6
wasn,38
renovated,14
service,160
top,16
elevator,13
ceiling,6
rewards,21
gym,7
zero,11
final,6
shower,33
matter,9
mini,12
palace,6
ran,7
mind,6
talking,8
seen,9
mins,7
forced,6
luxury,8
don,99
alarm,7
spend,15
definitely,13
saying,14
queen,13
busy,11
menu,6
explain,11
stop,9
understaffed,7
despite,8
report,14
nasty,14
bar,32
bag,6
bad,51
decided,23
omg,6
boss,7
add,8
wtf,9
roller,10
received,12
fault,9
com,7
pre,7
towels,14
speak,19
conference,6
bathroom,51
location,34
website,8
air,31
weren,10
property,11
mistake,9
complaint,6
conditioner,10
amount,10
nif,10
hand,10
nit,8
kept,19
min,12
game,7
left,43
laptop,10
thanks,9
yes,16
heated,6
previous,15
save,8
night,107
security,45
deal,15
people,107
understand,12
dead,6
denied,6
paid,44
super,12
properties,10
dollars,6
dinner,11
plus,14
bath,11
crowd,6
music,9
happy,11
head,12
offering,6
offer,15
wireless,8
inside,17
ruined,6
request,14
promised,9
check,184
shit,6
floor,62
tip,6
smelled,10
smell,18
picture,7
weekend,23
apology,8
nthis,15
beds,27
loyal,9
time,141
manager,95
ice,6
april,6
disgusting,15
finally,46
choice,7
vegas,152
word,7
trouble,12
minute,8
cool,7
guy,34
talked,9
sign,12
cost,9
drinks,10
goes,15
filled,6
clerk,8
water,48
slow,17
change,22
wait,54
box,8
hospitality,7
extra,45
hotels,45
visit,7
checkout,7
cashier,7
car,23
reviews,15
wallet,7
fulton,10
claim,10
heard,18
write,7
till,11
sunday,7
staying,57
cocktail,7
spot,9
birthday,6
filthy,10
remember,7
mgr,8
maybe,15
provide,6
switch,10
deposit,11
talk,7
unacceptable,6
