words,count
nwe,11
asian,8
sorry,8
lack,8
bacon,7
nthe,12
told,33
dry,10
recommend,9
times,16
hot,10
wrong,14
bread,20
meal,19
waffle,6
ate,9
wasn,14
service,66
top,6
seated,13
matter,6
friend,6
mins,6
don,29
saying,7
menu,20
rice,9
plate,9
bar,14
bad,22
steak,7
decided,6
kitchen,17
life,6
plates,6
left,21
burnt,6
brought,10
night,25
people,18
paid,12
dinner,13
inside,6
check,16
time,58
stick,7
manager,54
finally,16
vegas,20
minute,7
leave,8
guy,7
drinks,16
water,9
wait,27
visit,7
soup,10
guys,7
maybe,10
cold,14
appetizers,11
lunch,6
half,8
didn,36
card,7
care,10
couldn,8
waiter,31
waited,15
cheese,12
bite,6
tell,18
boyfriend,7
nathan,6
unfortunately,6
tasted,6
breakfast,31
sat,11
palazzo,7
price,8
buffet,17
calamari,6
slow,11
morning,12
husband,7
review,10
comes,7
disappointed,8
pay,8
omelette,8
charged,10
rest,6
flavor,6
lady,6
server,50
served,11
nmy,8
shrimp,7
start,6
trying,7
taste,9
poor,6
wife,10
dish,9
worse,6
sitting,9
worst,10
past,9
experience,20
family,6
hour,6
sandwich,9
okay,6
rude,18
coming,6
help,7
soon,6
attitude,9
actually,6
late,17
sauce,6
wouldn,7
food,135
found,9
hard,14
drink,14
terrible,13
feel,8
hotel,10
eggs,16
salmon,10
extremely,7
pretty,8
restaurants,6
probably,11
attention,6
restaurant,31
else,10
hostess,14
bill,21
grand,34
arrived,11
person,8
love,8
tables,13
customers,6
couple,8
absolutely,8
eating,9
servers,11
fried,11
doesn,11
cafe,12
nice,9
ago,6
walked,8
fresh,6
dessert,6
entire,6
waiting,21
busy,10
customer,6
salad,22
didnt,6
instead,10
entree,6
day,12
strip,6
completely,6
waitress,28
quality,8
stars,7
dishes,12
min,9
waffles,9
looked,7
anyway,6
bring,9
chicken,34
staff,12
lux,33
horrible,12
table,34
party,11
pasta,12
getting,8
eat,23
venetian,12
minutes,66
star,13
friends,13
