words,count
yummy,7
friendly,25
customer,11
vegas,21
crust,10
wait,10
pick,6
love,12
visit,6
recommend,13
glad,7
salad,8
worth,6
reviews,6
awesome,9
amazing,15
plus,7
pizza,136
tried,6
spot,6
coming,7
perfect,6
hot,7
late,22
food,38
lunch,6
day,6
bread,6
reasonable,7
special,7
try,22
pepperoni,8
cheese,12
fast,9
delicious,20
owner,8
service,40
hotel,9
loved,8
definitely,19
chicken,15
staff,13
menu,13
decided,7
close,6
deliver,13
restaurant,8
groupon,6
prices,8
pesto,6
inch,6
garlic,8
wings,17
flamingo,25
night,22
people,6
super,10
strip,11
delivery,18
eat,6
fries,10
minutes,7
check,6
variety,8
nice,17
friends,6
time,23
fresh,12
