words,count
nwe,10
worth,6
tickets,35
venue,112
enjoy,6
nthe,36
fantastic,6
music,28
recommend,6
excellent,7
amazing,15
third,6
office,8
band,18
free,8
isn,8
floors,12
wasn,16
service,8
top,13
girls,6
seen,19
doors,6
plenty,10
don,28
enjoyed,9
layout,8
bar,49
bad,16
lots,9
bathroom,9
quickly,9
beer,14
expected,7
easy,19
near,9
played,8
fairly,6
hand,9
nit,7
kept,10
acoustics,18
left,6
bands,15
night,26
security,22
crowd,26
people,48
plus,10
inside,13
floor,70
time,51
dance,9
row,7
vegas,42
cool,16
level,9
guy,6
upper,7
drinks,38
water,9
wait,11
box,13
usually,6
love,15
live,10
entrance,6
crazy,7
awesome,21
heard,6
allowed,7
watching,7
spot,12
guys,6
maybe,8
course,6
hot,7
main,14
hall,6
didn,16
rock,41
concerts,22
girl,7
space,16
looking,9
tiesto,23
star,6
size,8
little,20
friend,12
ridiculous,6
sat,7
paid,6
especially,6
walking,6
outside,6
concert,81
seat,23
parking,8
review,6
tour,7
residency,7
venues,16
bathrooms,7
pay,11
check,6
motley,7
week,7
bottle,8
taxi,7
setting,7
seating,26
intimate,20
nmy,6
favorite,10
stand,13
strip,8
stars,6
moved,10
sound,50
fan,8
ticket,19
past,7
stood,6
section,13
hours,8
arena,7
experience,16
vip,13
hour,10
huge,14
acts,6
lighting,7
coming,8
crowded,15
actually,9
late,6
food,7
bigger,10
found,7
upstairs,8
house,15
hard,34
expect,6
blues,7
event,12
darius,7
feel,13
miss,6
dancing,6
clean,9
pretty,43
bars,13
set,15
close,17
probably,12
expensive,7
priced,7
prices,12
fun,6
casino,17
levels,11
arrived,6
tables,11
cup,6
admission,20
complaint,6
bit,9
towards,6
seeing,14
impressed,6
fast,9
sections,6
line,27
doesn,6
definitely,21
nice,25
ago,7
walked,8
friendly,6
entire,7
access,6
larger,7
private,7
standing,27
started,6
sit,9
instead,8
lines,15
nalso,6
bartenders,6
move,12
perfect,8
front,28
twice,6
times,13
system,15
lot,9
loved,7
comfortable,8
able,14
bring,11
staff,14
overall,6
joint,105
view,19
packed,9
bought,7
job,7
walk,10
table,6
decent,9
smoking,8
party,10
drink,22
center,8
seats,57
crue,10
chairs,10
stage,55
getting,12
own,6
buy,11
minutes,8
pit,8
balcony,22
compared,9
friends,8
