words,count
month,15
worth,6
vegas,7
nthe,7
machines,9
staff,7
hours,6
kids,33
trainer,6
love,17
family,6
club,20
training,13
hour,12
locker,6
cardio,8
membership,16
salon,6
kid,6
personal,12
workout,7
day,14
times,10
pools,9
hard,6
attended,6
free,12
gym,43
classes,23
price,11
services,6
class,14
don,8
clean,14
summer,6
indoor,6
parking,6
available,6
etc,8
fitness,7
lvac,13
pay,11
yes,7
equipment,13
people,14
facility,6
weight,6
pool,7
lot,8
sales,6
lifetime,23
cafe,8
yoga,8
nice,19
weights,6
time,10
