words,count
worth,9
chef,9
nthe,20
told,18
dry,11
items,6
credit,6
brought,7
glass,11
excellent,8
frites,7
hot,7
wrong,8
oysters,8
wine,27
bread,14
meat,17
potatoes,13
meal,26
saturday,6
little,12
delicious,9
wasn,11
service,73
top,6
butter,7
seated,11
don,19
definitely,16
busy,6
menu,22
plate,11
bar,13
bad,16
steak,65
decided,13
kitchen,10
tough,7
sommelier,6
weren,10
left,8
yes,9
night,17
people,17
dinner,34
happy,6
medium,21
seafood,9
check,8
tip,8
time,27
manager,11
choice,8
vegas,31
steaks,27
eating,6
drinks,12
mussels,9
french,21
based,6
wait,15
entrees,6
love,6
staying,7
huge,6
mac,7
morels,25
maybe,8
course,8
appetizers,8
amazing,9
lunch,12
half,8
didn,46
looking,6
care,6
couldn,8
waiter,29
cheese,33
size,6
friend,15
unfortunately,6
tasted,13
breakfast,19
sat,9
dining,14
palazzo,16
price,23
paid,8
forever,7
especially,8
average,11
salt,10
slow,10
assistant,9
husband,10
seat,7
outside,6
hours,6
comes,6
attentive,10
sauce,13
coffee,10
ribeye,7
finish,6
omelette,6
bottle,6
money,14
rest,7
flavor,15
disappointed,14
server,30
served,7
lobster,10
business,9
nmy,7
mean,6
stars,11
waste,7
taste,8
poor,9
dish,15
worst,6
list,7
steakhouse,12
experience,17
options,6
family,6
eye,8
hour,11
sent,6
menus,6
okay,6
tried,10
coming,6
short,8
patio,14
actually,9
wouldn,6
return,6
food,80
house,7
expect,7
friday,8
fruit,11
feel,9
bland,24
guess,6
hotel,11
supposed,11
eggs,6
extremely,10
pretty,16
restaurants,9
probably,9
available,6
restaurant,38
empty,11
else,7
prices,10
bill,7
rib,11
tables,6
cut,9
bit,10
arrived,9
filet,7
fries,10
nice,34
cooked,11
fresh,16
morel,15
friendly,7
waiters,6
dessert,9
entire,6
asparagus,6
try,9
giving,6
nservice,6
crab,14
started,10
salad,16
instead,17
day,8
strip,9
special,10
noticed,6
quality,11
start,13
dishes,8
bouchon,9
looked,9
selection,8
staff,15
overall,7
gras,8
view,6
cold,9
table,40
decent,10
brunch,13
foie,8
party,14
drink,15
onion,6
pepper,6
pasta,8
rare,13
eat,9
venetian,6
minutes,14
star,10
friends,7
