words,count
nwe,7
asian,14
looking,6
worth,11
enjoy,6
japanese,11
nthe,9
ayce,25
items,14
recommend,12
type,7
excellent,12
times,6
hot,41
types,7
green,6
yourself,6
meat,17
meal,16
service,30
legs,8
plenty,6
don,14
definitely,23
menu,10
rice,16
bar,9
dipping,7
noodles,14
beef,18
broth,26
belly,7
plates,6
pick,10
nif,6
night,6
meats,18
people,10
ice,6
super,8
dinner,13
plus,6
curry,7
nthis,7
time,29
yummy,6
vegas,8
cook,13
cool,6
pork,19
wait,6
love,20
visit,7
soup,13
veggies,20
awesome,20
amazing,8
lunch,19
yum,6
friend,6
thai,14
dining,6
price,18
buffet,9
especially,8
seafood,37
pumpkin,7
pot,40
attentive,8
fridge,6
server,11
lobster,10
favorite,9
stars,12
spicy,16
tasty,6
chinese,10
scallops,8
experience,15
options,7
grill,17
coming,6
style,11
sauce,26
food,64
clams,8
delicious,13
fish,21
salmon,6
clean,14
pretty,14
restaurant,21
prices,7
fun,11
person,8
hotpot,9
shabu,71
sauces,25
tofu,15
fried,12
nice,15
cooked,8
fresh,18
desserts,10
friendly,19
dessert,15
try,23
eating,6
makes,6
crab,11
salad,8
shrimp,14
lamb,10
choose,14
mushrooms,9
quality,13
lot,11
loved,10
dishes,7
selection,13
bring,6
chicken,21
staff,17
stuff,6
grab,7
etc,12
table,8
choices,7
squid,6
cream,6
variety,9
own,14
included,9
vegetables,14
eat,34
ingredients,6
friends,9
