words,count
theaters,18
ticket,8
tickets,20
machines,9
drinks,7
busy,6
experience,10
popcorn,22
love,15
awesome,11
freestyle,7
town,6
reserved,10
sit,7
machine,7
watch,6
didn,8
drink,9
soda,12
little,7
comfy,7
serve,8
reclining,19
nthe,11
comfortable,11
remodel,11
self,7
online,6
coke,7
theatre,10
price,11
don,14
clean,7
cheap,6
pretty,7
overall,8
bar,9
seat,8
movie,42
beer,7
prices,25
recliners,12
butter,8
theater,49
seats,49
location,6
amc,18
bit,7
chairs,11
seating,17
people,7
concession,6
own,10
buy,9
line,15
nice,15
time,20
