words,count
nwe,7
venue,8
nthe,16
music,76
recommend,10
hop,61
las,9
free,18
techno,6
wasn,9
service,36
top,10
girls,18
don,26
definitely,21
bar,11
decided,6
chill,8
kept,7
left,8
yes,7
easy,9
night,81
security,6
crowd,32
people,65
clubs,31
super,10
true,6
inside,9
trip,9
floor,9
tip,6
til,9
weekend,9
time,60
dance,25
vegas,99
blast,8
cool,16
leave,14
guy,11
drinks,19
goes,6
wait,17
usually,9
love,49
visit,6
andy,7
club,82
crazy,8
awesome,18
heard,7
till,9
spot,25
guys,17
talk,9
course,6
amazing,14
main,6
name,7
didn,13
girl,10
looking,13
little,17
friend,10
outside,7
morning,16
comes,7
pay,8
check,9
totally,7
bottle,25
drais,64
taxi,7
favorite,16
ladies,9
strip,12
lol,6
bouncers,9
sun,17
hours,66
experience,11
afterhours,26
vip,6
door,7
beautiful,8
dress,6
coming,13
soon,7
actually,8
late,12
feel,17
house,45
hard,9
ass,6
feet,7
hotel,6
nights,6
dancing,12
play,11
cover,11
pretty,26
hip,62
hit,7
basement,6
close,6
fun,30
decor,10
moment,7
dark,10
tables,8
location,15
bit,6
continue,6
partying,22
wanna,6
line,17
doesn,10
nice,23
drai,79
walked,6
edm,21
friendly,12
sexy,13
casino,8
leaving,6
started,8
women,6
customer,6
bally,8
sit,10
vibe,18
located,6
stop,8
bartenders,9
perfect,13
day,6
cromwell,9
red,13
scene,6
loved,9
able,7
atmosphere,7
staff,13
packed,15
walk,10
table,19
party,56
home,8
getting,8
nightclub,8
stay,8
friends,21
