words,count
vegas,38
burger,8
nthe,9
casual,6
hash,7
hours,6
studio,21
wait,9
casino,6
options,6
club,13
soup,9
huge,8
staying,6
spot,8
actually,6
food,56
day,9
sandwich,21
waiter,7
times,8
cheese,10
bread,6
wasn,8
little,12
service,20
benedict,8
breakfast,35
eggs,16
don,12
average,6
definitely,8
chicken,18
menu,11
pretty,17
mgm,24
morning,8
bad,9
french,10
late,16
decent,18
pricey,7
prices,9
restaurant,9
grand,10
arrived,7
bit,9
hotel,13
night,17
price,15
nmy,6
meal,13
dinner,8
dude,7
lot,6
eat,15
fries,18
tasty,8
cafe,27
nice,9
friends,6
time,14
