words,count
nwe,85
martinis,13
appetite,6
hate,8
worth,67
figs,12
month,6
venue,8
nfor,22
enjoy,55
bacon,7
chef,42
fabulous,28
nthe,122
blue,13
weren,11
told,24
dry,8
kids,15
items,13
fantastic,69
slices,7
highly,41
brought,35
total,7
watering,7
call,12
recommend,84
type,16
haha,6
glass,15
warm,21
excellent,115
bartender,22
vodka,13
absolute,10
amazing,237
disappoint,10
pizza,31
funny,11
decor,16
wrong,15
las,50
greek,7
green,32
oysters,6
wine,91
satisfied,7
oven,9
mahi,8
expectations,7
fig,54
savory,10
weeks,6
combination,9
braised,7
bread,194
meat,32
potatoes,30
filling,10
reasonable,14
rosemary,11
meal,124
mean,7
saturday,9
heavenly,8
free,22
isn,7
bite,23
wasn,28
service,271
spinach,14
top,77
girls,10
serve,14
hazelnut,7
ngreat,9
brulee,9
elegant,7
seated,86
entr,8
iron,7
boston,8
mind,14
mine,10
seen,9
recommended,28
mashed,21
mouth,45
plenty,12
smoked,8
don,60
definitely,126
pineapple,10
nand,11
earth,6
enjoyed,53
busy,24
menu,105
polenta,29
plate,51
watch,39
appetizer,67
watermelon,10
wedding,7
bar,78
greens,16
nicely,10
twice,11
bad,16
scrumptious,7
grilled,34
steak,47
decided,29
lots,9
gentleman,6
shaved,12
omg,8
boss,7
suggested,9
bachelorette,8
beef,141
quickly,17
sommelier,14
basil,10
lovely,23
life,27
mushroom,33
tastes,6
air,6
near,14
melted,14
vegetarian,9
cant,6
upscale,8
portobello,10
amount,11
split,14
plates,11
toasted,9
pick,8
nif,10
greeted,10
garlic,24
tuna,36
nit,7
butter,34
kept,10
left,21
thanks,12
yes,10
mix,8
spread,21
board,9
easy,10
unique,13
sliced,8
night,98
guests,11
deal,7
people,35
bottom,6
phenomenal,12
ice,18
christmas,7
tartar,6
corn,7
memorable,23
super,38
chilean,12
dinner,204
dined,9
flatbread,100
music,7
happy,34
head,6
medium,6
offering,6
magnificent,6
true,7
inside,37
tell,14
trio,6
sprouts,7
blueberry,6
topped,17
roll,8
picture,15
polite,6
weekend,13
potato,14
nthis,13
time,195
heirloom,6
skip,6
manager,14
row,12
yummy,37
finally,8
choice,11
vegas,281
minute,12
cool,18
impressive,7
level,9
leave,10
quick,18
guy,12
pork,20
regret,6
gnocchi,30
drinks,71
tartare,33
melt,7
goes,10
shared,26
filled,11
cookies,9
french,6
water,102
wait,104
boy,7
agnolotti,8
usually,26
entrees,37
breathtaking,12
love,100
extra,14
prompt,6
flavors,29
flatbreads,18
visit,47
creamy,15
suggestions,7
chocolate,49
olive,126
reviews,22
sour,8
bites,6
crazy,8
months,7
awesome,54
heard,7
allowed,8
spreads,21
write,6
sunday,7
plus,16
cocktail,32
spot,44
mac,11
birthday,45
date,13
remember,16
maybe,12
mango,6
nour,21
talk,8
cute,6
serving,8
terrace,13
cold,7
thank,22
appetizers,39
hot,19
window,24
main,27
noh,7
views,30
underneath,8
lunch,118
name,26
didn,64
rock,6
salads,17
space,6
looking,43
seriously,18
octopus,44
aioli,12
care,26
couldn,34
waiter,84
waited,11
cheese,71
size,15
city,10
little,94
checked,6
stuffed,23
white,23
friend,40
eyes,7
boyfriend,31
unfortunately,12
specials,9
tasted,33
sat,52
aside,6
terrific,6
dining,78
multiple,7
price,32
michelle,19
especially,31
seafood,14
hungry,18
wind,6
professional,14
walking,12
nthey,16
cheap,7
texture,6
nall,12
black,19
truly,18
portions,26
celebrate,8
seared,18
husband,33
seat,41
cocktails,36
wonder,7
review,22
glaze,13
outside,124
reading,9
whipped,6
arrival,11
style,9
comes,18
nicole,8
considering,9
olives,285
ravioli,57
offered,10
squash,64
attentive,51
accommodating,15
shops,8
middle,6
return,20
pay,7
check,21
pan,12
week,14
oil,24
delicate,6
favorites,16
totally,14
magical,8
tapenade,48
bottle,16
summer,6
outdoor,23
money,11
rest,7
touch,8
flavor,28
thinking,10
real,9
spectacular,25
dark,13
overlooks,7
mom,12
world,17
disappointed,23
server,101
served,58
tower,6
tart,6
seating,47
truffles,9
lobster,26
divine,13
provided,10
eiffel,6
business,10
chefs,12
nmy,34
found,8
raul,6
favorite,78
chop,13
mixed,14
clams,8
strip,44
lol,8
meals,27
start,38
lot,25
seasoned,11
exceptional,18
spicy,9
trying,14
strawberry,6
dirty,7
cipollini,11
taste,43
describe,6
tasty,49
girlfriend,10
watched,6
cream,31
requested,18
pear,9
peas,6
chris,9
missed,8
wife,51
original,7
forget,10
parmesan,28
dish,102
dressing,8
enjoying,7
presentation,15
sitting,35
fan,16
decide,9
surprise,8
heaven,12
list,36
prosciutto,61
tea,7
burger,11
casual,7
opted,9
crust,10
anniversary,18
scallops,87
hours,8
strong,10
personable,10
experience,156
options,13
family,15
souffl,6
indoors,9
select,6
eye,8
beginning,6
gorgeous,16
flat,48
squid,34
ate,35
glad,15
town,21
ribeye,6
hour,19
recall,6
def,8
beautiful,55
hamburger,6
share,24
days,11
salty,13
huge,29
chops,8
stayed,9
goat,12
okay,8
tried,32
advice,9
pastas,16
coming,19
short,16
halibut,13
breads,43
patio,184
help,10
soon,19
actually,22
late,20
sauce,77
wouldn,14
evening,44
curtis,8
food,405
everytime,8
stopped,7
die,33
heavy,10
delicious,188
house,12
fish,30
hard,20
finish,14
expect,9
todd,41
beyond,14
mist,7
tiramisu,18
fountain,106
moist,6
bass,34
pleasant,12
reason,8
cookie,11
imagine,8
charcuterie,8
