words,count
nwe,15
street,13
nthe,15
enchiladas,8
told,8
fajitas,6
fantastic,12
highly,18
brought,7
music,6
recommend,32
warm,6
excellent,26
bartender,15
hot,9
salsa,17
las,9
green,7
meat,7
meal,15
free,25
ate,8
days,8
wasn,8
service,100
top,6
hollywood,7
recommended,11
plenty,6
don,12
definitely,47
bomb,7
tequila,6
enjoyed,11
menu,28
plate,6
appetizer,10
bar,13
shots,8
loaded,6
greeted,7
kept,6
nachos,159
kale,6
enchilada,13
night,16
people,11
ice,7
super,33
dinner,7
happy,11
portions,10
daddy,47
trip,14
time,50
mile,8
yummy,8
vegan,49
tacos,20
vegas,70
margarita,43
jaylon,7
quick,14
dip,11
pork,7
chicken,35
drinks,26
shared,6
wait,7
love,16
visit,12
awesome,60
spot,19
thank,13
amazing,77
lunch,11
name,9
didn,9
looking,12
care,11
couldn,7
waiter,6
cheese,13
mignon,23
little,11
checked,7
thai,7
boyfriend,10
tasted,8
breakfast,18
price,6
walking,6
shot,24
outside,6
amanda,7
husband,11
review,7
jovanny,42
mark,9
attentive,29
bowl,7
check,20
bryce,13
real,11
miracle,9
server,66
served,7
lobster,10
favorite,12
shrimp,8
stars,7
spicy,11
taste,6
tasty,12
wife,6
manager,13
burger,10
personable,7
vegetarian,7
experience,21
options,12
guacamole,6
glad,7
town,16
hour,9
huge,12
tried,12
coming,12
mexican,19
late,6
cool,11
sauce,12
return,7
food,130
stopped,8
found,6
delicious,33
house,17
reason,6
guac,6
feel,9
arieanna,7
wonderful,9
hotel,7
extremely,9
pretty,15
recommendations,9
visiting,7
restaurant,20
sweet,12
cream,9
prices,6
fun,14
triple,7
location,17
queso,16
couple,6
wings,13
absolutely,12
beans,6
filet,24
planet,7
fried,6
nice,23
walked,6
fresh,14
buffalo,17
friendly,48
dessert,6
ryan,7
try,31
nacho,59
crab,7
customer,13
salad,7
stop,8
taco,9
bartenders,6
perfect,18
tyler,10
fiesta,9
hands,6
day,11
strip,29
special,9
times,9
margaritas,38
waitress,22
quality,8
tostada,8
loved,17
decided,7
atmosphere,24
selection,12
staff,19
scorpion,37
chips,20
table,11
bbq,8
helped,7
drink,8
add,6
five,6
helpful,14
home,7
eat,16
supreme,17
friends,6
yelp,12
