words,count
corvette,17
told,48
brought,11
call,19
paperwork,6
mechanic,7
wrong,8
purchase,8
dealer,10
fairway,6
fix,12
weeks,8
days,14
arrived,7
wasn,10
service,116
leaking,6
compressor,9
msrp,11
don,22
saying,6
explain,6
bad,9
tint,6
proceeded,6
left,9
deal,7
people,16
offer,8
test,16
time,43
manager,33
charge,11
leave,9
guy,14
install,7
change,18
car,97
guys,6
truck,33
repair,10
name,9
didn,14
repaired,6
looking,7
cars,9
care,12
couldn,6
chevy,19
overheating,6
tell,19
multiple,6
price,11
paid,6
drive,16
shop,8
dealerships,6
installed,6
morning,6
miles,8
informed,6
pay,17
check,9
week,6
oil,25
charged,6
money,13
dealership,34
business,9
heater,8
ago,10
buying,6
sales,14
caused,10
month,6
appointment,25
worst,7
past,6
hours,19
experience,6
pick,6
door,7
company,12
town,6
hour,8
tried,9
rude,10
return,6
found,7
try,8
issue,14
guess,8
onstar,7
sell,10
dealers,6
repairs,8
finally,6
due,15
else,10
look,7
scheduled,7
person,6
customers,10
vehicle,42
called,25
department,16
nice,6
vehicles,10
walked,6
issues,7
waiting,9
customer,19
chevrolet,13
instead,7
covered,7
auto,6
front,8
day,17
advisor,13
times,8
lot,7
able,7
looked,7
tire,10
fixed,7
bought,10
job,10
bozarth,28
home,9
hose,12
getting,6
warranty,10
findlay,6
buy,17
minutes,7
hvac,8
